College Name,Subject,Topics Covered
Amity University,INTRODUCTION TO COMPUTERS AND PROGRAMMING IN C,"To Computer, Von-Neumann Architecture, Memory System (Hierarchy, Characteristics And Types), H/W (I/O Devices), S/W (System S/W, Utilities), Data Representation: Number, Character Representation Codes, Binary, Octal, Hexadecimal And Their"
Amity University,PROGRAMMING IN C LAB,"Review Of C, Difference Between C, Procedure Oriented, Concepts: Objects, Classes, Principals Like Abstraction, Encapsulation, Inheritance And Polymorphism, Dynamic Binding, Message Passing, Characteristics Of Object-Oriented, To Object-Oriented Modeling"
Amity University,DATA COMMUNICATION AND COMPUTER NETWORKS,"To Computer Networks, Of Computer Networks, Reference Models, Example Networks, Transmission Media, Wireless Transmission, Telecom Infrastructure, Pstn, Communication Satellites, Mobile Telephone System, The Data Link, Error Detection"
Amity University,DATABASE MANAGEMENT SYSTEMS,"And Goals, Dbms Architecture, Database Languages, Database Users, Database Abstraction, Of Er Model:Entity, Entity Set, Relationship Type, Relationship Sets, Constraints: Cardinality Ratio, Cipation Constarint, Keys"
Amity University,OPERATING SYSTEMS,"To Operating System, Of Operating System, Batch, Interactive, Multiprogramming, Time Sharing, Multiprocessor System, Distributed System, System Protection, Operating System Structure, Operating System Services, System Program"
Amity University,DATA STRUCTURES USING C,"To Data Structures, Types, Algorithm Design, Complexity, Time-Space Trade Offs, Use Of Pointers, Array Definition, Representation Of Linear, Traversing Of Linear, Insertion And Deletion, Single Dimensional Arrays, Two Dimensional Arrays"
Amity University,UNIX PROGRAMMING LAB,"Semeconductor Physics: Mobility, Charge Densities In, Fermi Dirac Distribution, Carrier Concentration, Generation And Recombination, Diffuse And Continuity, Hall Effect, Semiconductor Diode, Diode As Circuit, Different Types, Schottky, Led"
Amity University,INTRODUCTION TO IOT,"Iot - What, Technology Drivers, Business Drivers, Trends And Implications, Of Governance, Privacy And Security, Iot Protocols -, –Bacnet Protocol– Modbus, Iot Architecture -, Iot And Big, V: Web, Iot Applications -"
Amity University,THEORY OF AUTOMATA AND COMPUTATION,"To Languages, Regular Expression Deterministic, Regular Expression, Two Way Finite, Finite Automata, Properties Of Regular, Pumping Lemma, My-Hill-Nerode Theorem, Context Free Grammars, Derivation And Syntax, E-Removal, Ambiguous Grammar"
Amity University,DIGITAL ELECTRONICS,"Boolean Functions Analog, And, Not, Nand, Nor & Xor, Boolean Algebra, Standard Representation, K-Map Representation, Don‟T Care Conditions, Xor & Xnor, Tabulation Method, Combinational Circuits Adders"
Amity University,ARTIFICIAL INTELLIGENCE,"Problem Solving, Applications- Games, Theorem Proving, Natural Language Processing, Vision And Speech, Robotics, Expert Systems, Ai Techniques- Search, Abstraction, Problem Solving State, Production Systems, Search Space Control:"
Amity University,COMMUNICATION SYSTEMS,"Communication Process, Source Of Information, Communication Channels, Base-Band And Pass-Band, Review Of Fourier, Random Variables, Different Types, Need Of Modulation, Primary Communication Resources, Analog Versus Digital, Amplitude Modulation Amplitude, Suppressed Carrier Systems"
Amity University,COMMUNICATION SYSTEMS LAB,"To Open Source, To Php, Installation And Configuration, Advantages And Disadvantages, Client Side Scripting, Server Side Scripting, Variables, Data Types, Various Types, Creating Your Own, Strings In Php, String Functions"
Amity University,ARTIFICIAL NEURAL NETWORKS,"Artificial Neural Networks, Supervised And Unsupervised, Neural Network Applications, Unsupervised Learning:- Hebbian, Supervised Learning:- Back, Learning Rule:- Delta, Widrow-Hoff Learning Rule, Winner-Take-All Learning Rule, Feed Forward Neural, Feed Backward Neural, Perceptron And Its, Single- Layer Perceptron"
Amity University,SOFTWARE ENGINEERING,"Software Life Cycle, Prototype, Evolutionary And Spiral, Of Quality Standards, Sei-Cmm, Software Metrics, Token Count, Function Count, Design Metrics, Data Structure Metrics, Information Flow Metrics, Cost Estimation"
Amity University,COMPUTER ARCHITECTURE,"Register Transfer Language, Bus And Memory, Arithmetic Micro-Operations, Logic Micro-Operations, Shift Micro-Operations, Arithmetic Logic Shift, Computer Organizations, Computer Registers, Computer Instructions, Timing And Control, Instruction Cycle, Memory-Reference Instructions"
Amity University,JAVA PROGRAMMING,"Java Of Oop, Of Java, How Java Is, Environmental Setup, Syntax, Objects And Classes, Data Types, Variable Types, Modifier Types, Operators, Loop Control, Decision Making"
Amity University,ANALYSIS AND DESIGN OF ALGORITHM,"Algorithm Design Paradigms, Of Algorithmic Efficiency, Run Time, Asymptotic Notations, Recurrences- Substitution Method, Recursion Tree Method, Master Method, Divide And Conquer, Binary Search, Quick Sort, Merge Sort, Strassen Multiplication"
