College Name,Subject,Topics Covered
Delhi Technological University,Basic Electrical Engineering,". Introduction, Role and importance of circuits in Engineering, concept of fields, charge, current, voltage, energy and their interrelationships. V- I characteristics of ideal voltage and ideal current sources, various types of controlled sources, passive circuit components, V-I characteristics and ratings of different types of R, C elements. DC Network, Series and parallel circuits, power and energy, Kirchhoff’s Laws, delta-star transformation, superposition theorem, Thevenin’s theorem, Norton’s theorem, maximum power transfer theorem, Tellgen’s theorem. Single Phase AC Circuits, Single phase emf generation, average and effective values of sinusoids, complex representation of impedance, series and parallel circuits, concept of phasor, phasor diagram, power factor, complex power, real power, reactive power and apparent power, resonance in series and parallel circuits, Q-factor, bandwidth and their relationship, half power points. Three-Phase AC Circuits, Three phase emf generation, delta and star connection, line and phase quantities, solution of three phase circuits, balanced supply and balanced load, three phase power measurement by two wattmeter method. Magnetic Circuits and Transformers, Amperes circuital law, B-H curve, concept of reluctance, flux and mmf, analogies between electrical and magnetic quantities, solution of magnetic circuits, hysteresis and eddy current losses, mutual inductance and dot convention, single phase transformer – construction and principle of working, auto transformer and their applications. Measuring Instruments, Analog indicating instruments, PMMC ammeters and voltmeters, damping in indicating instruments, shunt and multipliers, moving iron ammeter and voltmeters, dynamometer type instruments, multimeters, AC watt-hour meters. digital voltmeters, ammeters and watt meters."
Delhi Technological University,Engineering Graphics,". PART A General, Importance, Significance and scope of engineering drawing Lettering, Dimensioning, Scales, Sense of Proportioning, Different types of Projections, B.I.S. Specification, line symbols, rules of printing. Projections of Points and Lines, Introduction of planes of projection, Reference and auxiliary planes, projections of points and lines in different quadrants, traces, inclinations, and true lengths of the lines, projections on auxiliary planes, shortest distance, intersecting and non-intersecting lines. Planes Other than the Reference Planes, Introduction of other planes (perpendicular and oblique), their traces, inclinations etc., projections of points lines in the planes, conversion of oblique plane into auxiliary plane and solution of related problems. Projections of Plane Figures, Different cases of plane figure (of different shapes) making different angles with one or both reference planes and lines lying in the plane figures making different given angles (with one or both reference planes). Obtaining true shape of the plane figure by projection. Projection of Solids, Simple cases when solid is placed in different positions, faces and lines lying in the faces of the solid making given angles. Isometric and Orthographic Views, First and Third angle of system of projection, sketching of Orthographic views from pictorial views and vice –versa, Sectional views. Principles of dimensioning. Development of lateral surfaces of simple solids. Introduction to available drafting softwares like AutoCAD"
Delhi Technological University,Mathematics – II,". . Matrices, Rank of a matrix, Inverse of a matrix using elementary transformations, Consistency of linear system of equations, Eigen-values and Eigenvectors of a matrix, Cayley Hamilton theorem, Diagonalization of matrix. Ordinary differential equations, Second & higher order linear differential equations with constant coefficients, General solution of homogenous and non - homogenous equations, Method of variation of parameters, Euler-Cauchy equation, Simultaneous linear equations, Applications to simple harmonic motion. . Special Functions, Power series method, Frobenious method, Legendre equation, Legendre polynomials, Bessel equation, Bessel functions of first kind, Orthogonal property. . Laplace Transforms, Basic properties, Laplace transform of derivatives and integrals, Inverse Laplace transform, Differentiation and Integration of Laplace transform, Convolution theorem, Unit step function, Periodic function, Applications of Laplace transform to initial and boundary value problems. . Fourier series, Fourier series, Fourier Series of functions of arbitrary period, Even and odd functions, half range series, Complex form of Fourier Series, Numerical Harmonic analysis. . Fourier Transforms, Fourier Transforms, Transforms of derivatives and integrals, Applications to boundary value problem in ordinary differential equations (simple cases only)."
Delhi Technological University,Communication Skills,". CommunicationCommunication, Process, Features, BarriersLanguage, Technology and Communication02, Grammar and UsageVocabulary-Words/Word Formation, Confusing Word Pairs Sentence Construction, Sentence Types, Direct/Indirect Speech Punctuation, Error Spotting, Idioms and Phrases, Oral CommunicationPhonetics of English, Vowels, Consonants, syllables, transcription of words and simple sentences using IPA, Speech Sounds and their articulation, phonemes, Syllable, Stress, Transcription of words and Simple SentencesLanguage Lab Practice for Oral Communication, Project Presentations, Group Discussions, Debates, Interviews etc. IT-, Written Technical Communication Composition- Descriptive, Explanatory, Analytical and ArgumentativeWriting Paragraphs ( Essay, Summary, Abstract)Reading and Comprehension, Providing working mechanism of instruments, appliances, description of processes, their operations and descriptions, Drawing Inferences from graphs, charts, Diagrams etc., Texts for Appreciation and AnalysisImprove your Writing by V. N. Arora and Lakshmi Chandra (OUP)Vijay Seshadri. Sections () or Gestures, Poetry from SAARC Countries Ed. K. Satchidanandan. Sahitya Akademi, New Delhi . Leguin. The Telling, Harcourt Inc. or Animal Farm by George Orwell (), or Frankenstein by Mary Shelley () Harper Collins India Ltd., NOIDA"
Delhi Technological University,Programming Fundamentals,". Introduction, Concepts of algorithm, flow chart, Introduction to different Programming Languages like C, Java etc. Elementary Programming in C, Data types, assignment statements, Arithmetic, unary, logical, bit-wise, assignment and conditional operators, conditional statements and input/output statements. . Iterative programs using loops- While, do-while, for statements, nested loops, if else, switch, break, Continue, and goto statements, comma operators. Concept of subprograms. . Array representation, Operations on array elements, using arrays, multidimensional arrays. Structures & Unions, Declaration and usage of structures and Unions. Defining and operations on strings. . Pointers, Pointer and address arithmetic, pointer operations and declarations, using pointers as function argument. File, Declaration of files, different types of files. File input/ output and usage-, File operation, creation, delete, update, text file, binary file.. . Concept of macros and pre-processor commands in C, Storage types, Automatic, external, register and static variables. Sorting and searching algorithms, selection sort, bubble sort, insertion sort, merge sort, quick sort and binary search. . Introduction to Object Oriented Programming, OOPS concepts, class, encapsulation, inheritance, polymorphism, overloading etc. C++ introduction, Concept of class, methods, constructors, destructors, inheritance."
Delhi Technological University,Data Structures,". Introduction, Introduction to Algorithmic, Complexity- Time-Space Trade off. Introduction to abstract data types, design, implementation and applications. Introduction to List data structure.Arrays and Strings, Representation of Arrays in Memory, one dimensional, Two dimensional and Multidimensional, Accessing of elements of array, performing operations like Insertion, Deletion and Searching. Sorting elements of arrays. Strings and String Operations.Stacks and Queues, Introduction to data structures like Stacks and Queues. Operations on Stacks and Queues, Array representation of Stacks, Applications of Stacks, recursion, Polish expression and their compilation conversion of infix expression to prefix and postfix expression, Operations of Queues, Representations of Queues Applications of Queues, Priority queues. . Linked Lists, Singly linked lists, Representation of linked list, Operations of Linked list such as Traversing, Insertion and Deletion, Searching, Applications of Linked List. Concepts of Circular linked list and Doubly linked list and their Applications. Stacks and Queues as linked list. . Trees, Basic Terminology, Binary Trees and their representation, binary search trees, various operations on Binary search trees like traversing, searching, Applications of Binary search Trees, Complete Binary trees, Extended binary trees. General trees, AVL trees, Threaded trees, B- trees. . Searching and Sorting, Linear Search, Binary search, Interpolation Search, Insertion Sort, Quick sort, Merge sort, Heap sort, sorting on different keys, External sorting. . Graphs, Terminology and Representations, Graphs & Multi-graphs, Directed Graphs, Representation of graphs and their Transversal, Spanning trees, shortest path and Transitive Closure, Activity Networks, Topological Sort and Critical Paths. File Structure, File Organization, Indexing & Hashing, Hash Functions, Collision Resolution Techniques."
Delhi Technological University,Object Oriented  Programming,". Object oriented paradigm & C++ at a glance, Evolution of programming paradigm, structured versus object-oriented development, elements of object-oriented programming, Objects, classes, methods, popular OOP languages, software reuse.Classes and objects, Introduction, Class revisited, constant objects and constructor, static data members with constructors and destructors, constructor overloading, nested classes, objects as arguments, returning objects, friend functions and friend classes, constant parameters and member functions, static data and member functions. . Dynamic objects, pointers to objects, array of objects, pointers to object members, this pointer, self-referential classesOperator overloading and Inheritance, overloading of new and delete operators, conversion between objects and basic types, conversion between objects of different classes, overloading with friend functions, abstract classes, inheritance types, virtual base classes, virtual functions, pointer to derived class objects, and base class objects, pure virtual functions, virtual destructors.Generic programming with templates, function templates, overloaded function templates, class templates, inheritance of class template, class template containership, class template with overloaded operators. . Introduction to byte code, security and portability, Data Types, variables, operators, arrays, type conversion and casting, type promotion, Control statements, standard input-output, Designing Classes, constructors, access specifiers, public, private, protected, inheritance, packages and interfaces, String, Vectors, and Array List classes, polymorphism, function and operator overloading, function overriding, abstract classes. . Exception Handling, exception types, nested try-catch, throw, throws and finally statements, Multithread Programming, thread creation, synchronization and priorities. . Input-output and file operations, Java.io, stream classes, Byte streams, character streams, serialization. Networking concepts, Client server and socket programming, TCP/IP client and server sockets. IT- Applets and Java Swing, Applet design, AWT packages, Applet event handling, parameters to applets, AWT controls, layout manager, Frames, container classes, Introduction to Java Beans, Swing and Servlets."
Delhi Technological University,DISCRETE STRUCTURES,". Formal Logic, Statement, Symbolic Representation and Tautologies, Quantifiers, Predicator and validity, Normal form, Prepositional Logic, Predicate Logic, Logic Programming and Proof of correctors3 . Proof, Relation and Analysis of Algorithm, Technique for theorem proving, Direct Proof, Proof by Contra position, proof by exhausting cases and proof by contradiction, Principle of mathematical induction, principle of complete induction, recursive definition, solution methods for linear, first-order recurrence relations with constant coefficients, analysis of algorithms involving recurrence rotations-recursive selection sort, binary search, quick sort, solution method for a divide-and-conquer recurrence relation. . Sets and Combinations, Subsets, powersets, binary and unary operations on a set, set operations/set identities, fundamental counting principles, principle of inclusion, exclusion and pigeonhole, permutation and combination, Pascal’s triangles, binomial theorem, representation of discrete structures. . Relation/function and matrices, Rotations, properties of binary rotations, operation on binary rotation, closures, partial ordering, equivalence relation, properties of function, composition of function, inverse, binary and n-ary operations, characteristics of permutation function, composition of cycles, Boolean matrices, Boolean matrices multiplication. Lattices & Boolean Algebra, Lattices, definition, sublattices, direct product, homomorphismBoolean algebra, Definition, properties, isomorphic structures (in particular, structures with binary operations) subs algebra, direct product and homomorphism, Boolean function, Boolean expression, representation & minimization of Boolean function. . Graph TheoryTerminology, isomorphic graphs, Euler’s formula (Proof) four color problem and the chromatic number of a graph, five color theorem. Trees terminology, directed graphs, Computer representation of graphs, Warshall’s algorithms, Decision Trees, Euler path & Hamiltonian circuits, Shortest path & minimal spanning trees, Depth-first and breadth first searches, analysis of search algorithm, trees associated with DFS & BFS Connected components, in order, preorder & post order tree traversal algorithms."
Delhi Technological University,Digital Electronics,". Boolean Algebra, Venn diagram, switching function and minimization, switching functions with don’t care terms etc. (Karnaugh’s Map Method & Tabulation Techniques) . Introduction Logic Gates, Logic Families TTL, Tristate Logic, CMOS and T 2L Logic, Logic parameters, Bistable, Monostable, Astable and Schmitt trigger circuit. . Gated memories, M/S flip flips, Shift Registers Serial & Parallel Counters, Ring counters, Up Down counters. Designing of combinational circuits like code converter, address decoders, comparators, etc. . Introduction to semiconductor memories, EPROM, STATIC & DYNAMIC RAM. Introduction to Encoders, Decoders, Multiplexer, Demultiplexer, Designing Combinational circuits with multiplexers and other digital logic blocks, PROM. Concept of Digital to Analog Conversion Ladder Networks, and Concept of Analog to Digital conversion, Dual Slope method. . V-F conversion, stair case Ramp-method/counter method successive approximation type of A/D converters etc. . Introduction to design of synchronous & asynchronous sequential circuit flow table realization from verbal description, ASM charts, minimization of flow table and concept of state assignment."
Delhi Technological University,Database Management System,". Introduction, Database system concepts and its architecture, Data models schema and instances, Data independence and database language and interface, Data definition languages, DML. Overall database structure. Data modeling using Entity Relationship Model, E.R. model concept, notation for ER diagrams mapping constraints, Concept of super key, candidate key, primary key generalizations, Aggregation, reducing ER diagrams to tables, extended ER model. Relational Data Model and Language, Relational data model concepts, integrity constraints, Keys domain constraints, referential integrity, assertions, triggers, foreign key relational algebra, relational calculus, domain and tuple calculus, SQL data definition queries and updates in SQL. . Data Base Design, Functional dependencies, normal forms, 3NF and BCNF, multi-valued dependencies fourth normal form, join dependencies and fifth normal form. Inclusion dependencies, lossless join decompositions, normalization using FD, MVD and JDs, alternatives approaches to database design. . File Organization, Indexing and Hashing Overview of file organization techniques, Indexing and Hashing- Basic concepts, Static Hashing, Dynamic Hashing, Ordered indices, Multi-level indexes, B-Tree index files, B+- Tree index files, Buffer managementTransaction processing concepts, Transaction processing system, schedule and recoverability, Testing of serializability, Serializability of schedules, conflict & view serializable schedule, recovery from transaction failures, deadlock handling. . Concurrency Control Techniques, Locking Techniques for concurrency control, time stamping protocols for concurrency control, concurrency control in distributed systems. multiple granularities and multi-version schemes. Case Studies, Commercial databases, Oracle, Postgress, MySQL"
