College Name,Subject,Topics Covered
IIIT Hyderabad,ADVANCED COMPUTER ARCHITECTURE,"Compiler And Architecture Interactions, Vector Architectures, Gpus, Design Of Cache Memory, Distributed Shared Memory, Memory Consistency Models, Non-Volatile Memories, Amd Ai/Ml Engine, Tpus, Near, Ai/Ml Techniques In Architecture, Branch Prediction Etc, Power Management, Security"
IIIT Hyderabad,ADVANCED COMPUTER NETWORKS,"Modeling And Measurement, Network Traffic Modeling, Network Measurement, Simulation Issues, Network Coding Techniques, Flow And Congestion Control, Tcp Variants, Tcp Modeling, Active Queue Management, Routing, Router Design, Scheduling"
IIIT Hyderabad,ADVANCED DESIGN OF STEEL STRUCTURES,"Flexural Members, Bifurcation, Instability, Limit States-Yielding, Buckling, Flexural Buckling, Bending, Column Curves, Euler Buckling, Inelastic Buckling, Imperfections, Amplification Of Loads"
IIIT Hyderabad,ADVANCED NATURAL LANGUAGE PROCESSING (NLP),"Distributed Semantics, Contextual Distributed Semantics, Models Such As Elmo, Bert, Ernie And Their Derivatives, Statistical Machine Translation Methods, Extractive And Abstractive Summarization, Neural Summarization Methods, None. Mostly Research Papers"
IIIT Hyderabad,ADVANCED OPERATING SYSTEMS,"Computer System Hardware Review, Networking (9 Hours, Operating System Structures, Virtual Machines, Cpu Scheduling, Process Synchronization, Deadlocks (10 Hours, Memory Management, Virtual Memory (10 Hours, File Systems, Hadoop, Map Reduce"
IIIT Hyderabad,ARTS 1 AND 2,"Raga And Rhythm, Melodic Exercises, Presentation Of Audio, Creativity, And Discipline In Life, Painting, Creating Logos, Symbols, Dance, Sculpture, Collage, Maps, Gender Stereotypes, Consumerism"
IIIT Hyderabad,AUTOMATA THEORY,"Finite State Machines, Deterministic Finite Automata (Dfa, Nondeterministic Finite Automata (Nfa, Regular Expressions, Regular Languages, Pumping Lemma, Grammars, Left And Right-Linear Grammars, Context Free Grammar (Cfg, Chomsky Normal Form, Push Down Automata (Pda, Context Free Languages (Cfl"
IIIT Hyderabad,BIOINFORMATICS,"– Bioinformatics, Gene And Genome Structure, Cloning Vectors, Dna Sequencing – Pcr, Bio Databases, Ebi, Pubmed, Uniport, Pdb, Genome Browsers – Ensemble, Ucsc, Sequence Alignment"
IIIT Hyderabad,BLOCKCHAIN AND WEB3 DEVELOPMENT,"Bitcoin Blockchain, Transactions And Scripting, Addresses And Wallets, Crypto Mining, Bitcoin Vs. Ethereum, Tokens Vs. Coins, Ethereum Virtual Machine (Evm, Gas System, Pos Consensus, Solidity, Remix Ide, Basic Variable Types (Integers"
IIIT Hyderabad,CHEMISTRY TOPICS FOR ENGINEERS,"Vibrational And Rotational Levels, Phosphorescence, And Froster Energy Transfer(2L, Conductors, Semiconductor, Inorganic Pigments And Phosphors, And Superconductors Chemistry. (5L, Modern And Futuristic Materials, Molecular Materials, Liquid Crystals, Conducting Polymers, Green Synthesis"
IIIT Hyderabad,CMOS REFERENCES AND REGULATORS,"To Internet-Of-Things, Pvt Variations, Temperature Compensation, Psrr, Accuracy, Process-Spread, Etc, Brokaw Bandgap Reference, P-Amp Less Bandgap References, Sub-Bandgap References, Start-Up Circuits, Switched Capacitor Bandgap References"
IIIT Hyderabad,CHEMICAL KINETICS AND REACTION DYNAMICS,"Empirical Chemical Kinetics, Experimental Techniques, The Rates Of Reactions, Integrated Rate Laws, Reactions Approaching Equilibrium, Elementary Reactions, Consecutive Elementary Reactions, Impact On Biochemistry, Unimolecular Reactions. (2L, Chain Reactions, Explosions, Polymerization Kinetics"
IIIT Hyderabad,COMPUTATIONAL LINGUISTICS 2,"Sense And Reference, Referent, Extension, Prototype, Stereotype, Deixis And Definiteness, Predicates, Referring Expressions, Universe Of Discourse, Contradiction, Entailment, Symmetry"
IIIT Hyderabad,COMPUTER PROBLEM SOLVING,"Of C Programming, Variables Declaration, Input-Output, Operators, Functions, Pointers, File Handling, Memory Management, Stacks, Queues, Linked Lists, Sorting Algorithms, Understanding Algorithm Complexity"
IIIT Hyderabad,COMPUTER PROGRAMMING,"Basic Computer Organization, High Level Programming Languages, Assemble Code, Binary Instructions, Compilers. Program Editing, Expressions, Operators And Precedence Levels, Basic I/O Functions, Conditional Statements (If-Then-Else, Switch Case). Functions, Loops (For, While Etc"
IIIT Hyderabad,COMPUTING IN SCIENCES-1,
IIIT Hyderabad,DATA ANALYTICS-I,Data Summarization Through Characterization
IIIT Hyderabad,DATA AND APPLICATIONS [HALF],"Data, Database, Database System (3 Hours, Data Models, Conceptual Data Modeling, Er Models (5 Hours, Relational Data Model, Relational Algebra, Sql, Constraints, Triggers, Database Connectivity, Applications (3 Hours, Normalization"
IIIT Hyderabad,DATA STRUCTURES & ALGORITHMS FOR PROBLEM SOLVING,"Stack, Queue, D Arrays, Dynamic Programming, Recursion Etc, Avl Tree, Heaps, Graph Traversal, Shortest Path Algorithms Etc, Tries, Splay Trees, Range Trees, Sorting Etc"
IIIT Hyderabad,DIGITAL IMAGE PROCESSING,
IIIT Hyderabad,DIGITAL SYSTEMS AND MICROCONTROLLERS (DSM),"Decimal, Hexa Decimal, Postulates Of Boolean Algebra, Binary Logic Gates, Binary Functions, Logic Function Implementation, Combinational Circuits, Latches And Flip-Flops, Types Of Flip-Flops, Sequential Circuits, State Diagrams, State Tables"
IIIT Hyderabad,DIGITAL VLSI DESIGN,"To Digital Design, Digital Design Metrics (Performance, Power, Functionality, Robustness, Why Low Power, Why High Performance, Power- Delay Optimal Designs, Why Technology Scaling, Making Modern Digital Circuits, Corner-Based Nanoscale Design, Statistical Circuit Design"
IIIT Hyderabad,DISCRETE STRUCTURES,"Sets, Relations, Functions, Permutations, Propositional Equivalences, Predicates And Quantifiers Sets, Proof Techniques, Contradiction. Mathematical Induction, Finite And Infinite Sets, Countable And Uncountable Sets, Cantor’S Numbering, Group"
IIIT Hyderabad,EARTHQUAKE RESISTANT DESIGN OF MASONRY STRUCTURES,"To Masonry, Masonry Buildings In India, Material Properties, Masonry Units- Stones, Brick And Concrete Blocks, Hollow And Solid Units, Manufacturing Process, Mortar, Grout, And Reinforcement, Masonry Assemblages, Masonry Systems"
IIIT Hyderabad,ENVIRONMENTAL SCIENCE AND TECHNOLOGY,"Bias In The Data, Causality, Individual Fairness, Envy Freeness, Max-Min Share, Cycle Elimination, Etc, Group Fairness (Equalized Odds, Disparate Impact, Accuracy Parity, Predictive Parity). Different Preprocessing, Differential Privacy (Dp, Gaussian Mechanism, Local Dp, Bayesian Dp"
IIIT Hyderabad,FINITE ELEMENT METHOD,"Need For Fem, Boundary Value Problems, Types Of Boundary Conditions, Method Of Weighted Residuals, Axial Deformation Of Bars, Galerkin Method, Axial Spring Element. Applications, One-Dimensional Heat Flow, Isoparametric Mapping, Quadratic Isoparametric Element, Beams, Frames And Trusses"
IIIT Hyderabad,FOUNDATIONS FOR SIGNAL PROCESSING AND COMMUNICATION,"Probability Axioms, Pdf, Pmf, Some Important Distributions, Joint And Conditional Distributions, Random Quantities In Spcom, Notion Of Communication Channel, Hypothesis Testing, Concentration Inequalities (Markov, Chebyshev, Chernoff, Central Limit Theorem"
IIIT Hyderabad,GENDER AND SOCIETY,"Core And Terms, Sex, Normative And Non-Normative Sexuality, Trans-Bodies, Power, Ideology And Intersectionality’S, Of Power, Ideology, Patriarchy, Feminist Movements, Rights Struggles, Gains And Losses"
IIIT Hyderabad,HUMAN SCIENCES LAB,"Bag Of Words Exercise, Crawling Of Tweets, Scraping Of Newspaper Articles, Working With Political Data"
IIIT Hyderabad,INFORMATION RETRIEVAL AND EXTRACTION,"To Information Retrieval, Information Extraction (4.5 Hours, Ir Applications (12 Hours"
IIIT Hyderabad,INFORMATION THEORY,"Relative Entropy, Mutual Information, Huffman Codes And Optimality, Discrete Memoryless Channel, Differential Entropy, Guassian Channel Capacity, Private Information Retrieval, Data Exchange Between Nodes, Dna Storage, Adversarial Channels. Preferred Textbooks, “Elements Of Information Theory"
IIIT Hyderabad,INTRODUCTION TO BIOLOGY,"Cellular Foundations, Cell Organelles, Membranes And Cellular Compartments, Tree Of Life, Chemical Foundations, Biomolecules, Structure And Function, Physical Foundations, Bioenergetics, Catalysis, Enzymes, Photosynthesis"
IIIT Hyderabad,INTRODUCTION TO FILM STUDIES,"Cinematography, Editing, Sound, Narrative, Genre, Conversations On Medium Specificity, Realism In Cinema, Phenomenology Of Film, The Soviet School, Digital Cinema, New Wave/S, Noir"
IIIT Hyderabad,INTRODUCTION TO PHILOSOPHY,"Second-Order Discipline, Epistemology, Cogito Ergo Sum(Descartes, Existentialism, Phenomenology, Hermeneutics, Hermeneutical Circle (Gadamer, E-Book Links, Divine And Social Contract, Liberty, Negative And Positive, Equality"
IIIT Hyderabad,INTRODUCTION TO QUANTUM FIELD THEORY,"Review Of Backgrounds, Motivations For Qft, Elements Of Classical Field, Functional Formalism, Path Integral Formalism, Functional Quantization, Feynman Diagrams, Quantization Of Scalar Field, Phi-4, S-Matrix, Dirac Field, Gamma Matrices"
IIIT Hyderabad,THE MAKING OF CONTEMPORARY INDIA,"Colonial Background, Independence, Partition, S To 2000S, Social, Economic, And Development Journey, Long-Term Processes, Literacy And Education, Infant Mortality And Sex-Ratios, Migration And Urbanization, And Travel And Communication"
IIIT Hyderabad,MCS 1 – PROBABILITY AND STATISTICS,"Sample Spaces, Counting, Uniform Probability, Axioms Of Probability, Continuous Probability Spaces, Conditional Probability, Bayes Rule, Independence, Random Variables, Pmfs, Discrete Probability Distributions, Multiple Random Variables"
IIIT Hyderabad,MCS 2 - LINEAR ALGEBRA,"Vector Spaces, Subspaces, Linear Dependence, Span, Basis, Dimension, Rank Nullity Theorem, Sylvester'S Law, Matrix Operations, Change Of Basis, Rank Of A Matrix, System Of Linear Equations"
IIIT Hyderabad,MOBILE ROBOTICS,"Representation Of Coordinate Frames, Rotation Matrices, Homogenous Transforms, Lidar Based, Principles Of Computer Vision, Camera Modelling, Calibration, Reconstruction And Resection, Bundle Adjustment"
IIIT Hyderabad,MODERN COMPLEXITY THEORY,"Turing Machines, Circuits, Encoding Of Problems, Halting Problem, Shannon’S Counting Lower Bound, Complexity Measures And Classes, Time, Space, Depth Measures Of Complexity, Space Hierarchy Theorems, Nondeterminism, Savitch’S Theorem"
IIIT Hyderabad,"NETWORK, SIGNALS & SYSTEMS","Signals, Representation, Sinusoids, And Fourier Series, Block Diagram, Perator, And Functional Form, Poles And Zeros, Sinusoidal Input And Phasors"
IIIT Hyderabad,OPERATING SYSTEMS AND NETWORKS,"Memory Addressing And Paging, And Networking (10 Hours, Common Concurrency Problems, Persistence – File Systems, Protection"
IIIT Hyderabad,PRINCIPLES OF SEMICONDUCTOR DEVICES,"Semiconductor Properties, Carriers In Equilibrium, G-R Processes, Carrier Transport, Pn Junction Physics, Mos & Mosfet, Bjt"
IIIT Hyderabad,PROBABILITY AND RANDOM PROCESSES,"Discrete Random Variables, Probability Mass Function, Probability Distribution Function, Continuous Random Variables, Probability Density Function, Example Distributions, Joint Distributions, Expectation And Variance, Conditional Distribution, Densities, Conditional Expectation, Moment Generating Functions"
IIIT Hyderabad,PROBABILITY AND STATISTICS,"Discrete Random Variables, Probability Mass Function, Geometric Distribution, Tail Sum Formula, Continuous Random Variable, Probability Density Function, Cumulative Distribution Function, Expectation, Moments, Memoryless Property, Hazard Function. Gamma Distribution, Chi-Square Distribution. (9 Hours"
IIIT Hyderabad,PRODUCT MANAGEMENT 101,None
IIIT Hyderabad,QUANTUM INFORMATION THEORY,"In This Part, Quantum Channels, And Quantum Measurements, Quantum Correlations, Tools In Quantum Information, Relative Entropy, Fidelity, Quantum Conditional Entropy, Quantum Mutual Information, Strong Subadditivity, Quantum Communication Protocol, Packing Lemma, Covering Lemma, Channels, Information"
IIIT Hyderabad,QUANTUM MECHANICS,"Mathematical Formalism, Review Of Linear Algebra, Complex Functions, Heisenberg Picture, Time Independent Schrödinger Equation, Infinite Square Well, Harmonic Oscillator, Free Particle, Delta Function Potential, Finite Square Well, D Problems, Angular Momentum"
IIIT Hyderabad,REAL ANALYSIS,"Vector, Vector Operations, Products, Gradients, Curl And Divergence, Cr Equation, Harmonic Functions, Laplace Equation, Applications (7.5 Hours, Poles And Essential Singularities, Residues, Cauchy’S Residue Theorem"
IIIT Hyderabad,REAL-TIME EMBEDDED SYSTEMS,"Real-Time Systems , Modeling Real-Time Systems, Weighted Round Robin Approach, Priority Driven Approach, Dynamic Vs Static Systems, Offline Vs Online Scheduling, Preemptive Vs Non-Preemptive, Schedulability Test, Dynamic Priority, Edf Algorithm, Schedulability Tests, Sporadic Server, Constant Utilization Server, Multiprocessor Scheduling"
IIIT Hyderabad,RESEARCH IN INFORMATION SECURITY,"Elliptic-Curve Cryptography (Ecc, Key Management, Proxy Signature, Security In Cloud/Fog Computing, Intrusion Detection And Prevention, Blockchain-Based Ai/Ml Security"
