College Name,Subject,Topics Covered
IIT BOMBAY,COMPUTING AND,"Numbers, Text, Images, Abstraction Techniques, And Its Principles Functional Programming, Pure Functions, Immutability Object-, Oriented Programming Fundamentals, Classes, Objects"
IIT BOMBAY,DISCRETE STRUCTURES,"Logic And Proofs, Propositional And Predicate Calculus Set, Operations, Relations, Functions, Mathematical Induction And Recursion Combinatorics, Counting Principles, Permutations, Combinations Graph Fundamentals, Graphs, Trees, Connectivity Relations"
IIT BOMBAY,PROGRAMMING PARADIGMS LABORATORY,"Implementation Of Different Programming Paradigms, Classes, Inheritance"
IIT BOMBAY,PROGRAMMING,"And Techniques, Advanced Data Structures, Linked Lists, Stacks, Queues, Trees Memory Management And Dynamic"
IIT BOMBAY,DATA,Structures And Algorithms +
IIT BOMBAY,LOGIC FOR CS,"Propositional Logic, Syntax, Semantics, Truth Tables Predicate Logic, Quantifiers, Interpretations, Natural Deduction, Resolution, System Specification To Model Checking"
IIT BOMBAY,DATA STRUCTURES LAB,"Implementation Of Linear Data Structures, Arrays, Linked Lists, Stacks, Queues Implementation, Non-Linear Data Structures, Trees, Heaps, Algorithms Implementation, Binary Search"
IIT BOMBAY,AUTOMATA THEORY AND LOGIC,"Finite Automata, Computational Complexity, Matching"
IIT BOMBAY,LOGIC DESIGN,"Adders, Multiplexers, Decoders, Sequential Circuit Design, Flip-Flops, Counters, For Digital Circuits"
IIT BOMBAY,DIGITAL LOGIC DESIGN,"Devices Programmable Logic Devices (Plds, Fpgas) Digital System Design Methodologies, Digital Circuits"
IIT BOMBAY,DIGITAL LOGIC DESIGN AND COMPUTER ARCHITECTURE,"Design With Computer Architecture, Memory, Hierarchy Design, Cache"
IIT BOMBAY,DIGITAL LOGIC AND COMPUTER ARCHITECTURE LAB,"Computer Components, Arithmetic Circuits Sequential Circuit Implementation, Counters, Registers Finite State Machine"
IIT BOMBAY,SOFTWARE SYSTEMS LAB,Experience With Software System Development
IIT BOMBAY,DIGITAL LOGIC DESIGN LAB,"Implementation Of Digital Logic Circuits, Sequential Circuit Implementation, Counters, Optimization Of Implemented Circuits"
IIT BOMBAY,LOGIC DESIGN LAB,"Digital Logic Design, Adders, Multiplexers, Decoders Sequential Circuit Design, Flip-Flops, Counters, Registers Finite State"
IIT BOMBAY,COMPUTER ARCHITECTURE,"Data Path And Control, Cache, Main Memory, Multicore, Architecture"
IIT BOMBAY,AUTOMATA THEORY,"Finite Automata, Complexity Classes, Recognition Semester 5"
IIT BOMBAY,IMPLEMENTATION OF PROGRAMMING LANGUAGES,"Techniques For Implementing Programming Languages, Phases Of Compilation, Lexical Analysis, Parsing, Semantic Analysis Syntax-Directed Translation, Interpreter Design And Implementation"
