College Name,Subject,Topics Covered
NIT TIRUCHIRAPPALLI,DISCRETE STRUCTURES,"Set And Logic, Sets, Functions, Relations, Equivalence Relation, Poset, Functions Logic, Propositional Logic, Truth Tables, Tautologies, Resolution Proof System, Predicate Logic"
NIT TIRUCHIRAPPALLI,ESSENTIALS OF COMPUTER SCIENCE,"Program, Input, Processing, Output, Tracing Their, Arithmetic–Logic, Logic, Gates, Logic Gates, Low Level Language, Symbolic, Versions"
NIT TIRUCHIRAPPALLI,MATHEMATICS III - PROBABILITY AND OPERATIONS RESEARCH,"Definitions Of Probability, Conditional Probability, Baye‟S Rule, Random Variable, Probability Mass Function, Density Function, Binomial Distribution, Poisson Distribution, Normal Distribution, Moment Generating, Correlation Coefficient, Random Process"
NIT TIRUCHIRAPPALLI,PRINCIPLES OF PROGRAMMING LANGUAGES,"Programming Languages, Lexical Analysis, Parsing, Recursive-, Primitive Data Types, Strings, Array Types, Associative Arrays, Record Types, Union, Types, Pointers And References"
NIT TIRUCHIRAPPALLI,DATA STRUCTURES,"Development Of Algorithms, Notations And Analysis, Sparse Matrices, Stacks, Queues, Representations And Applications, Linked List, Linked Lists, Operations On Polynomials, Doubly Linked Lists, Circularly Linked Lists, Dynamic Storage Management"
NIT TIRUCHIRAPPALLI,DIGITAL SYSTEMS DESIGN,"Boolean Algebra, Binary Codes, Canonical And Standard, Boolean Expressions, Truth Tables, K-Map Reduction, Don'T Care Conditions, Adders / Subtractors, Carry Look-, Ahead Adder, Conversion Algorithms, Design"
NIT TIRUCHIRAPPALLI,COMPUTER ORGANIZATION,"Performance, Power Wall, Operations, Computer Hardware, Representing Instructions, Logical, Parallelism And Instructions, Synchronization, Addition And Subtraction, Multiplication, Division, Floating Point"
NIT TIRUCHIRAPPALLI,FORMAL LANGUAGES AND AUTOMATA THEORY,"Finite Automata, Alphabets, Strings And Languages, Automata And Grammars, Deterministic Finite Automata, Formal, Simplified Notation, State Transition Graph, Transition Table, Language Of Dfa, Nondeterministic, Language Of Nfa"
NIT TIRUCHIRAPPALLI,DESIGN AND ANALYSIS OF ALGORITHMS,"Algorithms, Examples, Tournament Method, Evaluating Polynomial Functions, Pre-Processing Of Coefficients, Solving Recurrence Equations, Strassen'S Matrix Multiplication, Greedy Method, Huffman, Minimum, Spanning Trees, Dijkstra Algorithm"
NIT TIRUCHIRAPPALLI,OPERATING SYSTEMS,"Operating Systems, Computer Systems, Os Operations, Virtualization, Computing Environments, Os Services, Os Structures, System Calls, Process, Threads, Multithreading, Process Management"
NIT TIRUCHIRAPPALLI,COMPUTER ARCHITECTURE,"Classes Of Computers, Defining Computer Architecture, Trends In Technology, Trends In Power, Trends In Cost, Dependability, Measuring, Reporting And Summarizing, Performance, Pipeline Hazards, Pipelining, Implementation"
NIT TIRUCHIRAPPALLI,DATABASE MANAGEMENT SYSTEMS,"Views Of Data, Data Models, Database Management System, Three-Schema, Architecture Of Dbms, Components Of Dbms, E/R Model, Conceptual Data Modelling, Motivation, Entities, Entity Types, Attributes"
NIT TIRUCHIRAPPALLI,COMPUTER NETWORKS,"Computer Networks, Topologies, Transmission Media, Reference Models, Physical Layer, Periodic Analog Signals, Transmission Impairments, Digital Data, Transmission Techniques, Data Link Layer, Parity, Hamming"
NIT TIRUCHIRAPPALLI,INTRODUCTION TO ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,"History Of Ai, Agents, Environments, Problem Solving Methods, Problem, Solving Agents, Formulating Problems, Search Strategies, Breadth-First, Uniform Cost, Depth-First, Depth-"
NIT TIRUCHIRAPPALLI,EMBEDDED SYSTEMS ARCHITECTURES,"Embedded System, Architecture, Importance, System Model, Standards And Networking, Multiple Standards-Based, Embedded Hardware, Hardware Building Blocks, Basic Hardware Materials, Embedded Processors, Architecture Models, Internal Processor Design"
NIT TIRUCHIRAPPALLI,COMPILER DESIGN,"Compilation, Compilers, Grouping, Phases, Compiler Construction Tools, Lexical Analysis, Input Buffering, Specification Of Tokens, Lab Component, Syntax Analysis, Writing Grammars, Context-Free Grammars"
NIT TIRUCHIRAPPALLI,PRINCIPLES OF CRYPTOGRAPHY,"Mathematical Foundations, Number, Fermat'S Theorem, Cauchy 'S Theorem, Chinese Remainder Theorem, Primality Testing Algorithm, Quadratic Residues, Legendre Symbol, Jacobi Symbol, Classical Cryptosystems, Cryptography And Cryptanalysis, Classical Cryptography"
NIT TIRUCHIRAPPALLI,PROFESSIONAL ETHICS,"Human Values, Morals, Values And Ethics, Integrity, Work Ethic, Service Learning, Civic Virtue, Respect For Others, Living, Peacefully, Caring, Sharing"
NIT TIRUCHIRAPPALLI,LINEAR ALGEBRA AND APPLICATIONS,"An Example, F Gaussian Elimination, Inverses And Transposes, Finite Difference Matrices, Orthogonality, Orthogonality Of Vectors, Subspaces, Rthogonality Relations, Connection, Minimum Norm, Gram-, Hilbert Spaces"
NIT TIRUCHIRAPPALLI,COMBINATORICS AND GRAPH THEORY,"Combinatorics, Permutation Of Multisets, Combinations Of Multisets, Distribution Of Distinct, Shamire Secret Sharing, Catalan, Number, Derangement, Generating Functions, Partitions Of Integer, Ferrer Graph, Pigeonhole Principle"
NIT TIRUCHIRAPPALLI,SOFTWARE ENGINEERING,"Software Components, Software, Software Crisis, Software Engineering Processes, Quality, Attributes, Assessment, Sdlc, Models, Water Fall, Model, Prototype Model"
NIT TIRUCHIRAPPALLI,DESIGN THINKING,"Design Thinking, What, Design Process, Four Questions, Ten Tools, Identify An, Opportunity, Scope Your Opportunity, Draft Your Design, Three Visualizations, Visualization, Journey"
