College Name,Subject,Topics Covered
SRM UNIVERSITY AP,,"Computer Systems, Hardware, And Software. Problem Solving, Algorithm, Pseudo Code, Flowchart, Program Computer Languages, Machine, Writing, Editing (Any Editor), Compiling (Gcc), Linking"
SRM UNIVERSITY AP,PSYCHOLOGY FOR EVERYDAY LIVING,"And Goals Of Psychology, Understanding Perception, Gestalt Laws Of Organization, Common Illusions, Size Perception, Perception Of Movement, Attitude Formation, Attitude Change, Emotional And Social Intelligence, Measuring Iq, Eq And Sq, Of And Its"
SRM UNIVERSITY AP,SINGLE VARIABLE CALCULUS,"Derivtives And Differentitation Limit, Trigonometric Functions, Linear Approximations, Product And Quotient Rules, Chain Rule, Implicit Differentiation, Inverse, Exponential And Logarithm Functions., Quadratic Approximation, Newton’S Method, And 2Nd Derivative Test, Limits And Asymptotic"
SRM UNIVERSITY AP,INTRODUCTION TO ENVIRONMENTAL SCIENCE,"Phosphorous Cycle, Nitrogen Cycle, Natural Resources, Forests, Water, Minerals, Food And Land, Energy Sources, Values Of Biodiversity, Consumptive Use, Productive Use, Social"
SRM UNIVERSITY AP,INTRODUCTION TO PROGRAMMING USING PYTHON,"To Python Knowledge, Machines, Languages, Bindings, Strings, Input, Output, Ides, Control Flow, Iteration, Guess And Check –, Approximate Solutions"
SRM UNIVERSITY AP,DATA STRUCTURES,"Identifiers, Basic Data, Constants, Variables, Keywords, Operators, Arithmetic, Relational And Logical, Increment And Decrement Operators, Conditional Operator, Assignment Operators, Instruction"
SRM UNIVERSITY AP,,"Pipeline Processing Basic, Instruction And Arithmetic Pipeline, Data Hazards, O Organization Accessing I, O Interfaces - I, O Devices And Processors."
SRM UNIVERSITY AP,PROBABILITY AND STATISTICS FOR ENGINEERS,"To Probability, Counting And Set, Terminologies, Conditional Probability, Independence And Bayes’ Theorem., Continuous Random Variables, Expectation, Joint Distributions And Independence, Covariance And Correlation., Bayesian Inference To Statistics, Maximum Likelihood Estimate, Bayesian Updating"
SRM UNIVERSITY AP,IDEA OF INDIA,"India, Hindia, Aryavarta Or Bharat, Mother India, Iconising A Nation, Interbreeding Vs Replacement, Out Of Africa, Indus Valley Civilization, Myth Vs Reality, Vedic Age In India, Tribes, Caste And Battles."
SRM UNIVERSITY AP,OPERATING SYSTEMS,"Parallel Systems, Operating System Services, System Components, Protection System, System Calls., Process Management Process, Process Scheduling, Operation On Processes, Inter Process Communication, Of Ipc Systems, Multithreading Models, Threading Issues"
SRM UNIVERSITY AP,,"Big O, Omega, And Theta Notation, Hash Table, Recursive And Non-Recursive Algorithms., Merge Sort, Quicksort, Fractional Knapsack, Shortest Paths, Dijkstra’S Algorithm, Huffman Coding Dynamic Programming, Knapsack"
SRM UNIVERSITY AP,OBJECT ORIENTED PROGRAMMING USING C++,"Variables, Constants - Type Conversion, Operators, Structures - Functions, Functions, Passing Arguments, Returning Values"
SRM UNIVERSITY AP,JAVA PROGRAMMING,"Variables And Arrays, Operators, Expressions, Control Statements, Classes, Objects, Constructor, Methods, This"
SRM UNIVERSITY AP,ARTIFICIAL INTELLIGENCE E 3 0 0 3,"What Is Artificial Intelligence, Of Artificial Intelligence, Intelligent Agents, Structure Of Intelligent Agents., Search To Search, Searching For Solutions, Uniformed Search Strategies, Informed Search Strategies, Adversarial Search, Current-Best- Hypothesis Search, Least Commitment Search., Propositional Logic"
SRM UNIVERSITY AP,APPLIED DATA SCIENCE E 3 0 0 3,"To Data Science, Data Vs. Big Data, Statistical Modeling, Probability Distributions, Exploratory Data Analysis, Basic Tools - Plots, K-Medoids, Naive Bayes. Case Study, Wrappers, Decision Trees, Random Forests., Recommendation Systems"
SRM UNIVERSITY AP,PRINCIPLES OF SOFT COMPUTING HC 3 0 0 3,"To Soft Computing, Neural Network Architecture, Methods, Terminologies Of Ann, Hebb Network, Supervised Networks, Perceptron, Adaline, Madeline, Multi-Layer Perceptron, Back Propagation, Rbf Network"
SRM UNIVERSITY AP,INTRODUCTION TO PROGRAMMING USING PYTHON HC 3 0 0 3,"To Python Knowledge, Machines, Languages, Bindings, Strings, Input, Output, Ides, Control Flow, Iteration, Guess And Check –, Approximate Solutions"
SRM UNIVERSITY AP,APPLIED DATA SCIENCE HC 3 0 0 3,"To Data Science, Data Vs. Big Data, Statistical Modeling, Probability Distributions, Exploratory Data Analysis, Basic Tools - Plots, K-Medoids, Naive Bayes. Case Study, Wrappers, Decision Trees, Random Forests., Recommendation Systems"
SRM UNIVERSITY AP,HUMAN COMPUTER INTERACTION E 3 0 0 3,"Standards, Guidelines, Multimedia And Www., Mobile Hci Mobile Ecosystem, Platforms, Application Frameworks- Of Mobile, Widgets, Games- Mobile Information Architecture, Mobile 2.0, Mobile Design, Elements Of Mobile Design, Tools."
SRM UNIVERSITY AP,ADVANCED COMPUTER ARCHITECTURE E 3 0 0 3,"Memory And I, O System., Ibm Cell Processor."
SRM UNIVERSITY AP,NATURAL LANGUAGE PROCESSING E 3 0 0 3,"Semantics, Context-Free Grammar-Constituency- Parsing-Probabilistic Parsing., Cohesion-"
SRM UNIVERSITY AP,COMPUTER GRAPHICS E 3 0 0 3,"Of Graphics Systems, Video-Display Devices, Raster-Scan Systems, Random Scan Systems, Graphics Monitors, Points And Lines, Line Drawing Algorithms, Boundary-Fill, And Flood-Fill Algorithms., D Geometrical Transforms Translation, Scaling, Rotation"
SRM UNIVERSITY AP,ADVANCED DATA STRUCTURES AND ALGORITHMS E 3 0 0 3,"Avl Trees (Search, Insertion, Deletion, Red-Black Trees (Search, Insertion And Deletion), Splay Trees (Search, B- Trees, B+ Trees (Search, Fibonacci Heaps, Augmented Data Structures., Graphs & Algorithms Cut-Sets, Connectivity And Separability"
SRM UNIVERSITY AP,DISTRIBUTED OPERATING SYSTEMS E 3 0 0 3,"Computer Networks, Wan Technologies, Communication Protocols, Internetworking, Message Passing, Synchronization, Buffering Group Communication, Case Study., Implementing Rpc, Rpcs In Heterogeneous Environment, Lightweight Rpc, Consistency Models"
SRM UNIVERSITY AP,DATA AND WEB MINING E 3 0 0 3,"Dbms, Olap, Data Mining Techniques, Data Warehouse And Dbms, Multidimensional Data Model, Olap Operations., Association Rules, Motivation And Terminology, Basic Idea, Item Sets, Correlation Analysis., Data Mining Algorithms Classification"
SRM UNIVERSITY AP,COMPLEXITY THEORY E 3 0 0 3,"Lambda Calculus, Time Complexity Measuring Complexity, Big-O And Small-O Notation, The Class-Np, Nl Equals Conl."
SRM UNIVERSITY AP,SOFTWARE PROJECT MANAGEMENT E 3 0 0 3,"Engineering And Production Stages, Inception, Elaboration, Construction, The Artifact Sets, Management Artifacts, Engineering Artifacts, Major Milestones, Minor Milestones, Periodic Status Assessment., Quality Indicators Life-Cycle Expectations, Pragmatic Software Metrics"
SRM UNIVERSITY AP,MULTIMEDIA TE 3 0 0 3,"Multimedia And Hypermedia, Graphics Image Data, File Formats, And Representation (Image, Video, And Sound)., Color' Models In Images, Color Models In Video, In Video, Analog Video, Digitization Of Sound, Midi"
SRM UNIVERSITY AP,DEEP LEARNING TE 3 0 0 3,"Of Machine, Linear Classifiers, Computational Graph, Key Highlights, A Graph, Regression Example, Gradient Descent, Tensor Board, Modularity, Sharing Variables, Keras., Activation Functions Sigmoid"
SRM UNIVERSITY AP,FOG COMPUTING E 3 0 0 3,"Business Models, Architecture Of Fog Computing, Opportunities And Challenges., Taxonomy And Characteristics, Resource Management Challenge, Optimisation Challenges, Miscellaneous Challenges, Iot And Fog, Edge, And Clouds, Background, Network Slicing In 5G"
SRM UNIVERSITY AP,COMPUTER NETWORKS E 3 0 0 3,"Protocol, Layering Scenario. Layer Architecture, Osi Model"
SRM UNIVERSITY AP,SOFTWARE ENGINEERING E 3 0 0 3,"Software Process, Functional And Non-Functional, User Requirements, System Requirements, Feasibility Studies, Requirement’S Elicitation And Analysis, Requirements Validation, Requirements Management-Classical Analysis, Structured System Analysis, Petri Nets-Data Dictionary., Architectural Design, Interface Analysis"
SRM UNIVERSITY AP,DISTRIBUTED SYSTEMS E 3 0 0 3,"And Architectures, Goals, Of Distributed Systems Architectures, Architecture Styles, System Architectures, Architectures Versus Middleware, Self-Management In Distributed Systems., Processes And Communication Processes, Threads, Virtualization, Clients, Servers"
SRM UNIVERSITY AP,EMBEDDED SYSTEMS E 3 0 0 3,"To Embedded Systems, Characteristics Of Embedding Computing, Of Real Time Systems, Performance Of Embedded Systems., Digital Signal Processor, Interrupts (Supported By Arm, Supervisor Mode, Exceptions, Traps, Co-Processors, Memory System, Cpu Power Management."
SRM UNIVERSITY AP,DEEP LEARNING E 3 0 0 3,"Of Machine, Linear Classifiers, Computational Graph, Key Highlights, A Graph, Regression Example, Gradient Descent, Tensor Board, Modularity, Sharing Variables, Keras., Activation Functions Sigmoid"
SRM UNIVERSITY AP,NATURAL LANGUAGE PROCESSING E 4 0 0 4,"Semantics, Context-Free Grammar-Constituency- Parsing-Probabilistic Parsing., Cohesion-"
SRM UNIVERSITY AP,SINGLE VARIABLE CALCULUS AC 4 0 0 4,"Derivatives And Differentiation Limit, Trigonometric Functions, Linear Approximations, Product And Quotient Rules, Chain Rule, Implicit Differentiation, Inverse, Exponential And Logarithm Functions., Quadratic Approximation, Newton’S Method, And 2Nd Derivative Test, Limits And Asymptotic"
SRM UNIVERSITY AP,NUMERICAL ANALYSIS AC 4 0 0 4,"Optimization Based Formulations, Ode-Bvps And Pdes, Abstract Model Forms., Sub-Space, Linear Dependence, Of Basis, Dimension, Cauchy Sequence And Convergence, Inner-Product Spaces And Their, Problem Discretization Using Approximation, Taylor Series Approximation, Review Of Gaussian Elimination"
SRM UNIVERSITY AP,DIFFERENTIAL EQUATIONS AC,"Direction Fields, Euler’S Method, Classification Of Odes (Linear, Non-Linear, Exact, Separable), Integrating Factor, Bernoulli Equations, Initial Value Problem, Modelling (Free Falling Object, Radioactivity, Rl-Circuit)."
SRM UNIVERSITY AP,EUROPEAN SOCIAL FORMATIONS AC 4 0 0 4,"The Ottomans, The Mughals, The Mings, Political Economy (Trade, Commerce And Agrarian System), Black Death, Martin Luther And Reformation, Copernicus, Tycho Brahe, Johannes Kepler, Galileo, Columbus"
