College Name,Subject,Topics Covered
VIT,DISCRETE MATHEMATICS AND GRAPH THEORY,"Mathematical Logic, Algebraic Structures, Counting Techniques, Lattices And Boolean Algebra, Of Graphs, Trees, Circuits, Cut Sets, Graph Colouring, Covering, Partitioning"
VIT,FOUNDATIONS OF DATA SCIENCE,"Data Science, Databases For Data Science, Data Science Methodology, Data Analytics On Text, Platform For Data Science, Tableau"
VIT,PROGRAMMING FOR DATA SCIENCE,"Functions In R, Vectors And Lists, Data Wrangling, Data Visualization, Interactive Visualization In R"
VIT,DATA MINING,"Data Warehousing, To Data Mining, Data Preprocessing, Frequent Pattern Mining, Classification Techniques, Cluster Analysis"
VIT,MACHINE LEARNING,"Supervised Learning – I, Supervised Learning – Ii, Unsupervised Learning, Ensemble Learning, Machine Learning In Practice, Reinforcement Learning (Rl)"
VIT,EXPLORATORY DATA ANALYSIS,"To Exploratory Data Analysis, Data Transformation, Data Summarization And Visualization, Clustering Algorithms, Dimensionality Reduction, Model Development And Evaluation"
VIT,DEEP LEARNING,"Improving Deep Neural Networks, Convolution Neural Networks, Recurrent Networks, Recursive Neural Networks, Advanced Neural Networks, Deep Reinforcement Learning"
VIT,STATISTICAL INFERENCE,"To Estimator, Point Estimation, Interval Estimation, Testing Of Hypotheses, Large Sample Tests, Small Sample Tests, Non-Parametric Tests"
VIT,PREDICTIVE ANALYTICS,"To Analytics, Predictive Modeling, Comparison Of Regression Models, Comparison Of Classification Models, Time Series Analysis"
VIT,HEALTHCARE DATA ANALYTICS,"To Healthcare Data Analytics, Healthcare Foundations, Measuring Healthcare Quality, Healthcare Analytics Applications, Healthcare And Emerging Technologies"
VIT,FINANCIAL DATA ANALYTICS,"Applications Of Volatility Models, High Frequency Financial Data, Value At Risk"
VIT,IOT ARCHITECTURES AND PROTOCOLS,"Technologies Behind Iot, Resource Management In Iot, Applications Of Iot"
VIT,SENSORS AND ACTUATOR DEVICES,"Of Sensors And Actuators, Optical Sensors And Actuators, Mechanical Sensors And Actuators, Acoustic Sensors And Actuators, Chemical Sensors And Actuators"
VIT,PROGRAMMING FOR IOT BOARDS,"Iot Ecosystem, Programming For Prototyping Boards, Interfacing For Prototyping Boards, Programming, Embedded Programming And Rtos, Real World Projects"
VIT,PRIVACY AND SECURITY IN IOT,"Security In Iot, Blockchain Technology In Iot, Privacy Preservation In Iot, Privacy Protection In Iot, Trust Models For Iot"
VIT,WEARABLE COMPUTING,"To Wearable Components, Body Sensor Networks, Installing Spine"
VIT,DESIGN OF SMART CITIES,"Smart City, Urban Planning, Security, Process Control And Stabilization"
VIT,PENETRATION TESTING AND VULNERABILITY,"Pentesting, Information Gathering Methodologies"
VIT,ENGINEERING PHYSICS,"To Waves, Electromagnetic Waves, Elements Of Quantum Mechanics, Applications Of Quantum Mechanics, Lasers, Optoelectronic Devices"
VIT,FUNDAMENTALS OF QUANTUM COMPUTING,
