College Name,Subject,Topics Covered
BMS College of Engineering,Statistics and Discrete Mathematics,"GRAPH THEORY, Types of graphs, order and size of a graph, degree and out, degree, connected and disconnected graphs, Eulerian graphs, Hamiltonian graphs, graphs, and Isomorphic graphs Matrix representation of graphs, adjacency matrix, incidence matrix Trees, spanning tree, minimal spanning tree, Kruskal s algorithm and shortest path, Dijkstra s algorithm, Probability Distributions, Theoretical distributions, Discrete and continuous random variables, Discrete distributions, Poisson distribution, Geometric distributions Continuous distributions, Exponential, Gaussian, Uniform Distribution and Gamma distributions, Joint Probability And Markov Chain, Joint Probability Distributions, Discrete and continuous joint random variables, Mathematical expectations, Covariance, and Correlation Markov Chain, Probability vector, stochastic matrix, fixed point vector, regular stochastic matrix Higher transition probabilities, stationary distribution of regular Markov chain, Statistical Inference, procedure for testing of hypothesis, level of significance Large sample, Test of significance for single mean and difference between two means"
BMS College of Engineering,Database Management Systems,"Combinatorics, Binomial and multinomial theorems, Catalan numbers, the principle of inclusion and exclusion, Derangements, Rook Polynomials, An Example, Characteristics of Database approach, Advantages of using DBMS approach, When not to use a DBMS Database System Concepts and Architecture, Data models, Schemas and instances, Three schema architecture SQL, Schema Change Statement in SQL, Basic retrieval queries in SQL, Insert, Delete and Update statements in"
BMS College of Engineering,Data Structures,"An overview of NoSQL, Characteristics of NoSQL, NoSQL storage types, Advantages and Drawbacks of NoSQL, Application definition, Requirement Analysis, Implementation using MongoDB, Database Queries, Writing Queries Vector database, Vector Index, Working of Vector database, Data and Information, Data Structure, Classification of Data Structures, Data structure versus File Organization, Operations on Data Structure Introduction to Structures, pointers and Dynamic Memory allocation Stacks, Operations, array representations of stacks, Stack applications, Infix to postfix conversion, Postfix expression evaluation, function call tracing, recursion, Queues, Basic concept, queue operations, circular queue, priority queues, double ended queues Linked List, Singly linked list implementation, insertion, deletion and searching operations on linear list"
BMS College of Engineering,Computer Organization and,"Linked List, Circularly linked lists, insertion, deletion and searching Operations for Circularly linked lists, doubly linked list implementation, deletion and searching operations, applications of linked lists, Stack and queue implementation, maintaining directory of names, Manipulation of polynomials addition, representing sparse matrices, Definitions, tree representation, properties of trees, Binary tree, Binary tree representation, Binary tree properties, Binary tree traversals, Binary tree implementation, Binary Search Tree operations and its implementation, Applications of trees Graph, Trees versus Graph, Graph Traversals, Breadth, First Search BFS, Examples and programs, First Search DFS, Hashing Techniques, Hash Table Representation, hash functions, collision resolution, separate chaining, open addressing, linear probing, quadratic probing, double hashing, Basic Structure of Computers Instruction Set Architecture, Functional Units, Basic Operational Concepts, Number Representation and Arithmetic Operations, Memory Locations and Addresses, Memory Operations, Instructions and Instruction Sequencing, Addressing Modes, Concepts, Stacks, Subroutines, Additional Instructions, Basic Input Output, Accessing I O Devices, Interrupts, Bus Structure, Bus Operation, Arbitration, Memory System"
BMS College of Engineering,Object Oriented Java Programming,"Arithmetic, Addition and Subtraction of Signed Numbers, Design of Fast Adders, Multiplication of Unsigned Numbers, Multiplication of Signed Numbers Fast Multiplication, Pair Recoding of Multipliers, Save Addition of Summands, Summand Addition Tree using 3, 2 Reducers, Integer Division, Floating Point Numbers and Operations, Arithmetic Operations on Floating, Point Numbers, Guard Bits and Truncation, Implementing Floating, Point Operations, Basic Processing Unit, Some Fundamental Concepts, Instruction Execution, Hardware Components, Instruction Fetch and Execution Steps, Hardwired Control Parallel Processing and Performance, Hardware Multithreading, Vector Processing, Shared memory Multiprocessors, Cache Coherence, Message Passing Multicomputer"
BMS College of Engineering,Logic Design,"Multithreaded Programming, Java thread model, main thread, creating thread, creating multiple threads, isalive and Join, thread priorities, synchronization Input Output, Exploring java io, The I O Classes and Interfaces, The Byte Streams, Event Handling, Two Event Handling Mechanisms, The Delegation Event Model, Events, Event Sources, Event Listeners, Event Classes, The MouseEventClass, Event Listener Interfaces, The MouseListener Interface, the MouseMotionListener Interface, Delegation Event Model, Handling Mouse Events AWT, Working with Windows, Graphics and Text AWT Classes, Window Fundamentals, Working with Frame Windows, Graphics, Simplification of Boolean Expressions, Boolean expressions and Notations, Karnaugh Maps, Up to Four, variable maps, Product and Sum term Representations on Karnaugh Maps, Minimal Sum and Product with Don t Care Conditions, The Quine, McClusky Method, Combinational Circuits, Comparators, Decoders, Encoders, Multiplexers, Demultiplexers, Programmable Logic Devices PLDs, PLD Notation, Programmable Read, Only Memories PROMs, Programmable Logic Arrays PLAs, Programmable Array Logic PAL"
BMS College of Engineering,Unix Shell Programming,"The Basic Bistable Element, Latches, SR Latch, The Gated D Latch, The Master Slave JK Flip Flop, Edge Triggered Flip Flops, Timing Diagram of Flip Flops, Characteristic equation of Flip Flops, Counters and Design of Synchronous Sequential Circuits, Binary Ripple Counters, Model selection, State Transition Diagram, Architecture, Kernel and Shell, Features, Internal and External Commands, Basic Commands, script, passwd, rmdir Command Structure, Shell Script and Shell Programming, UNIX Server, File System, File creations and its related commands cat, diff Zipping unzipping files, zip File Permissions with chgrp chmod, Managing file links, hard links, symbolic links, Process Control, Viewing a Process, Command to display Process, Process Attributes, Process States, Process Fields, ps Commands options, Handling Jobs, Foreground Background Jobs, Shell Programming, Shell as an interpreter, shell variables, environment variables, Keywords, Assignment Statements"
BMS College of Engineering,Linear Algebra,"Branching Control Structures, Control Structure, Continue and break Statements, Expressions, Command Substitution, Command Line Arguments and Functions, CONTINUOUS OPTIMIZATION, 1 Local and global optima, convex sets and functions separating hyperplanes, application of Hessian matrix in optimization, Optimization using gradient descent ascent and NR method, 2 Sequential search 3, point search and Fibonacci search Constrained Optimization, Method of Lagrange multipliers, duality, KKT optimality conditions, INNER PRODUCT SPACES Inner products, inner product spaces, length and orthogonality, orthogonal sets and Bases, projections, Schmidt orthogonalization process, QRfactorization, least squares problem and least square error Curve fitting, Principle of least squares, fitting a straight line and fitting a parabola, EIGENVALUES AND EIGENVECTORS Introduction, Polynomials of Matrices, Cayley, Hamilton Theorem, eigen spaces of a linear transformation, Characteristic and Minimal Polynomials of Block Matrices, Jordan Canonical form"
BMS College of Engineering,Theoretical Foundations of,"MATRIX DECOMPOSITION AND THEIR APPLICATIONS Diagonalization, Orthogonal diagonalization of real symmetric matrices, quadratic forms and its classifications, signature, Singular value decomposition, Dimensional reduction"
BMS College of Engineering,Operating Systems,"Problems That Computers Cannot Solve, The Turing Machine, Programming Techniques for Turing Machines, Extensions to the Basic Turing Machine, Restricted Turing Machines, Turing Machines and Computers, Definition of Post s Correspondence Problem, A Language That Is Not Recursively Enumerable, An Undecidable Problem That is RE, Other Undecidable Problems, Computer, System Architecture, Operating System Structure, Operating system operations System Structures, Operating system services, User and Operating system interface, System Calls, Types of System calls, System programs, Operating System Structure Process Concept, Process Concept, Process Scheduling, Operations on Processes, process Communication, Multithreaded Programming, core Programming, Multithreading Models, Implicit Threading, Threading Issues Process Scheduling, Scheduling Criteria, Scheduling"
