College Name,Subject Code,Subject Name,Topics Covered
Chaitanya Bharathi Institute of Technology,22MTC01,LINEAR ALGEBRA & CALCULUS,"Partial Differentiation and Its Applications: Functions of two or more variables, Partial derivatives, Higher order partial derivatives, Total derivative, Differentiation of implicit functions, Jacobians, Taylors expansion of functions of two variables, Maxima and minima of functions of two variables. , Vector Differential Calculus and multiple Integrals: Scalar and Vector point functions, vector operator Del, Gradient, Directional derivative, Divergence, Curl, Del applied twice to point functions, Del applied to product of point functions (vector identities), Irrotational fields and Solenoidal fields, Double integral, Change of order of Integration and Triple integrals. , Vector Integral Calculus: Line integral, Surface integral and Volume integral. Verification of Greens theorem in a plane (without proof), verification of Strokes theorem (without proof) and Gausss divergence theorem (without proof). , Vector space: Vector space, Subspace, linear combination of vectors, linear span, row and column spaces, linear dependent, independent vectors, basis, dimension, linear transformation, invertible transformation, matrix of linear transformation, kernel and range of LT, rank and nullity of LT-rank nullity theorem(without proof), change of basis. , Matrices: Rank of a matrix, Echelon form, consistency of linear System of equations, Eigen values, Eigenvectors, Properties of Eigen values, Cayley-Hamilton theorem, Quadratic forms, Reduction of quadratic form to canonical form by linear transformation, Nature of quadratic form."
Chaitanya Bharathi Institute of Technology,22PYC01,OPTICS AND SEMICONDUCTOR PHYSICS,"Wave Optics: Huygens principle Super position of waves Interference of light by wave front splitting and amplitude splittingFresnels biprism Interference in thin films in reflected light Newtons rings Fraunhofer diffraction from a single slit Double slit diffraction Rayleigh criterion for limit of resolution Concept of N-slitsDiffraction grating and its resolving power. , Lasers & Holography: Characteristics of lasers Einsteins coefficients Amplification of light by population inversion Different types of lasers: solid-state lasers: Ruby & Nd:YAG; gas lasers: He-Ne & CO ; semiconductor laser Applications of lasers in engineering and medicine. Holography: Principle 2 Recording and reconstructionApplications. Fiber Optics: Introduction Construction Principle Propagation of light through an optical fiber Numerical aperture and acceptance angle Step-index and graded-index fibers Pulse dispersion Fiberlosses--Fiber optic communication system Applications. , Principles of Quantum Mechanics: Introduction Wave nature of particles de-Broglie hypothesis Physical significance of Time-dependent and time-independent Schrodinger equations Born interpretation Probability current Wave packets Uncertainty principle Particle in infinite square well potential Scattering from potential step Potential barrier and tunneling. , Band Theory of Solids: Salient features of free electron theory of metals (Classical and Quantum) Fermi level Density of states Blochs theorem for particles in a periodic potential Kronig-Penney model Classification of solids: metals, semiconductors and insulators. , Semiconductors: Intrinsic and extrinsic semiconductors Charge carrier concentration in intrinsic semiconductors Dependence of Fermi level on carrier concentration and temperature in extrinsic semiconductors (qualitative) Carrier generation and recombination Carrier transport: diffusion and drift P-N junction Thermistor Hall Effect LED Solar cell."
Chaitanya Bharathi Institute of Technology,22CSC01,PROBLEM SOLVING AND PROGRAMMING,"Introduction to Programming - Evolution of languages: Machine, Assembly and High-level languages. Software requirements for programming: OS, compiler, linker, loader, editor. Design specification: Algorithms and Flowcharts. , Data Types and Operators, Variable, Sequences and Iteration - Data types, Expressions, Precedence Rules, Operators: arithmetic, relational, logical, bit-wise and miscellaneous operators; local variable, global variables, List, String, Tuples, Sequence mutation and accumulating patterns. , Conditional Statement, Loops, Arrays and Strings, user-defined Data Types if, else, for, while, nested iteration, Concept and use of arrays, declaration and usage of arrays, 2-dimensional arrays, different types of user defined data types. , Dictionaries and Dictionary Accumulation, Functions/Methods - Dictionary basics, operations, methods, accumulation, advantages of modularizing program into functions, function definition and function invocation. Positional parameters passing arrays to functions, recursion, library functions. , File Handling and Memory Management - Concepts of files and basic file operations, writing/reading data to/from a .csv file, Memory Management Operations."
Chaitanya Bharathi Institute of Technology,22EGC01,ENGLISH,"Communication Skills: Introduction, nature and importance of communication; Process of communication; Types of communication: verbal and non-verbal; Barriers to communication; Intrapersonal, Interpersonal communication; Understanding Johari Window. Vocabulary & Grammar: The concept of Word Formation - Root words, Use of prefixes and suffixes to form derivatives, Standard abbreviations. Basic Sentences. Reading Task I. , Reading Skills: The Reading process, purpose, different kinds of texts; Reading Comprehension; Techniques of comprehension skimming, scanning, drawing inferences and conclusions. Practice in Critical Reading passages Vocabulary and Grammar: Determiners. Use of Synonyms and Antonyms, Construction of Sentences. Reading Task II. , Writing Skills II: Paragraph Writing. Structure and features of a paragraph; Essay writing, Cohesion and coherence. Techniques of writing prcis. Vocabulary & Grammar: Use of connectors and linkers, Tenses, Punctuation. Reading Task III. , Professional Writing Skills-1: Letter Writing Structure, format of a formal letter; Letter of Request and Response, Drafting Emails, Email and Mobile etiquette. Vocabulary and Grammar: Phrasal verbs, Misplaced modifiers, Subject-verb agreement. Reading Task IV , Professional Writing Skills-2: Report writing Importance, structure, elements & style of formal reports; Writing a formal report. Writing for Blogs. Vocabulary and Grammar: Words often Confused, Common Errors. Avoiding Ambiguity & Redundancy. Reading Task V."
Chaitanya Bharathi Institute of Technology,22MTC04,DIFFERENTIAL EQUATIONS & NUMERICAL METHODS,"Differential Equations of First Order: Exact Differential Equations, Equations Reducible to Exact Equations, Linear Equations, Bernoullis Equations, Riccatis and Clairauts Equations, Orthogonal trajectories, Rate of decay of radio-active materials. , Higher Order Linear Differential Equations: Higher order linear differential equations with constant coefficients, rules for finding Complementary function, Particular Integral and General solution. Method of Variation of Parameters, solution of Cauchy- Euler equation. LR and LCR circuits. , Numerical solution of equations: Numerical solutions of algebraic and transcendental equations by Bisection method, Regula-falsi method and Newton-Raphsons method, Solution of system of linear equations by LU decomposition methods, Crouts method, Jacobis method, Gauss Seidel method. , Interpolation and Numerical Differentiation: Forward, Backward and Central differences, Newton's forward and backward interpolation formulae, Gauss's forward and backward interpolation formulae, Lagrange interpolation, Numerical differentiation at the tabulated points with forward, backward and central differences. , Infinite Series: Convergence of sequence and series. Series of positive terms, Necessary condition for convergence, Comparison tests, limit form comparison test, DAlemberts Ratio test, Raabes test, Cauchys root test, Alternating series, Leibnitzs rule, absolutely and conditionally convergence."
Chaitanya Bharathi Institute of Technology,22CYC01,CHEMISTRY,"es knowledge of stereochemistry and organic reactions is essential. 4. Water chemistry , mpart the knowledge and understand the role of chemistry in the daily life. 5. New materials lead to discovering of technologies in strategic areas for which an insight into Polymers, nanomaterials and basic drugs of modern chemistry is essential."
Chaitanya Bharathi Institute of Technology,22EEC01,BASIC ELECTRICAL ENGINEERING,"DC Circuits: Electrical circuit elements (R,L and C), voltage and current sources, Kirchhoff current and voltage laws, analysis of simple circuits with dc excitation, Superposition, Thevenins and Nortons Theorems. , AC Circuits: Representation of sinusoidal waveforms, peak and RMS values, phasor representation, real power, reactive power, apparent power, power factor, Analysis of single-phase ac circuits consisting of R, L, C, series RL and RC. Three phase balanced circuits, voltage and current relations in star and delta connections. , Single Phase Transformer: Construction, Working principle, EMF Equation, Ideal and Practical transformer, Equivalent circuit of Transformer, OC and SC tests on a transformer, Efficiency and Regulation , DC and AC Machines: DC Generators: Construction, Principle of operation, EMF equation, Classification, Characteristics of shunt generators. DC Motors: Classification, Torque Equation, Characteristics and Speed control of DC Shunt and Series Motors, Losses and efficiency Three - Phase Induction Motors: Principle of operation, Applications , Electrical Installations: Electrical Wiring: Types of wires and cables, Electrical Safety precautions in handling electrical appliances, electric shock, and first aid for electric shock, safety rules. Components of LT Switchgear: Switch Fuse Unit (SFU), MCB, ELCB, Earthing (Elementary Treatment only), Elementary calculations for energy consumption"
Chaitanya Bharathi Institute of Technology,22CSC03,OBJECT ORIENTED PROGRAMMING,": Introduction to Object Oriented Programming Paradigms - Programming paradigms, advantages of OOP, comparison of OOP with Procedural Paradigms; Classes and Objects: Prototyping, referencing the variables in functions, inline, static functions, Memory allocation for classes and objects, arrays of objects, constructors. , : Polymorphism and Inheritance: Overriding methods, type conversions, base classes and derived classes, types of inheritance, various types of classes, invocation of constructors and destructors inheritance, aggregation, composition, classification hierarchies, metaclass/ abstract classes, unit testing and exceptions. , : Python Libraries -Basics of Open Source libraries for data pre-processing, modeling and visualization. , : Python to access Web Data - Regular Expressions, extracting data, sockets, using the Developer Console to Explore HTTP, Retrieving Web Page, and Passing Web Pages. , : Using Databases with Python - Using Databases, Single Table CRUD, Designing and representing a data model, reconstructing data with JOIN, many-to-many relationships."
Chaitanya Bharathi Institute of Technology,22ITC01,DIGITAL LOGIC AND COMPUTER ARCHITECTURE,"Data Representation: Number Systems, Octal and Hexadecimal Numbers, Decimal Representation, Complements: (r-1)s Complement, rs Complement, Subtraction of Unsigned Numbers, FixedPoint Representation, and Floating Point Representation. Digital Logic Circuits : Digital Computers, Logic Gates, Boolean Algebra, Map simplification, Product of- sums Simplification, Dont Care Conditions. , Combinational Circuits: Decoders, Encoders, Multiplexers, Half-Adder, FullAdders Flip-Flops: SR, D, JK, T Flip- Flops, Edge triggered Flip-Flops, Excitation Tables. Registers: Register with Parallel load, Bidirectional Shift Register with Parallel load, 4-bit Synchronous Binary Counter. , Central Processing Unit: General register Organization, Instruction Formats: Three Address Instructions, Two-Address Instructions, One-Address Instructions, and Zero-Address Instructions. Addressing Modes: Data Transfer and Manipulation, Program Control, Multi core Processors and their Performance.232 , Input-Output Organization: Peripheral Devices: ASCII Alphanumeric Characters, Input-output Interface: I/O Bus and Interface Modules, Asynchronous Data Transfer: Strobe Control, Handshaking, Asynchronous Communication Interface, First-In- First-Out Buffer, Modes of Transfer: Interrupt-Initiated I/O, Priority Interrupt: Daisy Chaining, Parallel Priority Interrupt, Priority Encoder, Direct Memory Access (DMA): DMA Controller. , Memory Organization: Memory Hierarchy, Main Memory: RAM and ROM Chips, Memory Address Map, Memory Connection to CPU, Auxiliary memory: Magnetic Disks, Solid State Drive, Associative Memory: Hardware Organization, Read and Write Operations, Cache Memory: Associative Mapping, Direct Mapping, Set-Associative Mapping, Virtual Memory: Address Space and Memory Space, Address Mapping using Pages, Associative Memory Page Table."
Chaitanya Bharathi Institute of Technology,22CSC05,DATA STRUCTURES,"Introduction: Data structures, Classification of data structures, Abstract Data Types, Analysis of Algorithms Recursion: Examples illustrating Recursion (Factorial, Binary Search), Analyzing Recursive Algorithms. Sorting: Quick sort, Merge Sort, Selection Sort, Radix sort, Comparing Sorting Algorithms. , Stacks: Stack ADT, Applications of stack, Array based stack implementation. Queues: Queue ADT, applications of queues, Array based queue implementation, Double Ended Queues, Circular queues. , Linked Lists: Introduction, Linked lists, Representation of linked list, types of linked list, singly linked lists, implementing stack with a singly linked list and Queue, Circular linked lists, doubly linked lists, Applications of linked lists. , Trees: General Trees, Binary Trees, Implementing Trees, Tree traversals. Search Trees: Binary Search Trees, Balanced search trees- AVL trees, B- trees. Priority queue and Heaps: Priority queue ADT, Priority queue applications, Heap trees, implementing a priority queue with a Heap, Heap Sort. , Graphs: Introduction, Applications of graphs, Graph representations, graph traversals. Hashing: Introduction, Hash Functions-Modulo, Middle of Square, Folding, Collision Resolution Techniques- Separate Chaining, Open addressing,- Linear Probing, Quadratic Probing, Double Hashing."
Chaitanya Bharathi Institute of Technology,22CSC32,DISCRETE MATHEMATICS,"Introduction to Propositional Calculus: Basic Connectives and Truth tables, Logical Equivalence: Laws of Logic, Logical Implication; Rules of Inference. Predicates: The Use of Quantifiers, Quantifiers, Definitions and the Proofs of Theorems , Sets: Sets and Subsets, Operations on sets and the Laws of Set Theory, Counting and Venn Diagrams. Relations: Cartesian Products and Relations. Partial ordering relations, POSET, Hasse diagrams, Lattices as Partially Ordered Sets, Equivalence relations. Pigeon hole principle. , Generating Functions: Generating Functions, Calculating Coefficient of generating functions. Recurrence Relations: The First Order Linear Recurrence Relation, Second Order Linear. Homogeneous Recurrence relations with constant coefficients, Non Homogeneous Recurrence relations. , Introduction to Graphs: Graphs and their basic properties- degree, path, cycle, Sub graphs, Complements and Graph Isomorphism, Euler trails and circuits, Hamiltonian paths and cycles, planar graphs, Euler formula, Graph Coloring. Trees: Definitions, Properties, Spanning Trees, Minimum Spanning trees: The Algorithms of Kruskal and Prim , Algebraic Structures: Algebraic Systems, Examples and General Properties, Semi groups and Monoids. Groups: Definitions and Examples, Subgroups, Homomorphisms and cyclic groups"
Chaitanya Bharathi Institute of Technology,22ITC02,JAVA PROGRAMMING,"Introduction to Java: Procedural and object-oriented programming paradigms, Principles, Features, Basic structure a java program, Java Primitive Data Types, Basic Operators, Flow-control statements. Defining Classes, Adding Instance Fields and Methods, Object Creation, Constructors, Access Modifiers, Method Overloading and Constructor Overloading, Use of static and final keyword, Arrays, Strings and String Tokenizer. , Inheritances and Packages: Types of Inheritance, super keyword, preventing inheritance, the Object class, method overriding and dynamic method dispatch, abstract classes and methods. Interfaces, Interfaces vs. Abstract classes, Inner classes and types, Packages, Creating and Accessing a Package, Understanding CLASSPATH, importing packages. , Exception Handling and Threading: What are exceptions, Error vs. Exception, usage of try, catch, throw, throws and finally clauses, Multithreading in Java, Life cycle of Thread, how to create threads, Thread class in java, Thread priorities, Thread Synchronization. Introduction to Generics. , Collections: Overview of Java Collection Framework, Collection Interfaces Collection, Set, List, Map, Collection classes Array List, Linked List, Hash Set, Tree Set, Hash Map, Tree Map, legacy and class, Iteration over Collections Iterator and List Iterator, Enumeration interfaces, differentiate Comparable and Comparator interface, Introduction to Java 8 Features. , Servlets, JSP and Databases: Introduction to Servlets, Servlet Life cycle, Request and Response methods- Servlet Collaboration. Servlet Config vs. Servlet Context, JSP, Databases: Connecting to Database - JDBC, Drivers, Connection, Statement and its types, Result set, CRUD operations."
