College Name,Subject Code,Subject Name,Topics Covered
Mahatma Gandhi Institute of Technology (MGIT),MA101BS,Matrices and Calculus,"Matrices Rank of a matrix by Echelon form and Normal form, Inverse of Non-singular matrices by Gauss- Jordan method, System of linear equations: Solving system of Homogeneous and Non-Homogeneous equations, LU Decomposition method, Gauss elimination method and Gauss Seidel Iteration Method. , Eigen values and Eigen vectors Linear Transformation and Orthogonal Transformation: Eigen values, Eigen vectors, properties of Symmetric, Skew Symmetric, Orthogonal, Unitary, Hermitian and Skew Hermitian matrices with reference to Eigen values and Eigen vectors Diagonalization of a matrix, Cayley-Hamilton Theorem (without proof), finding inverse and power of a matrix by Cayley-Hamilton Theorem, Quadratic forms and Nature of the Quadratic Forms, Reduction of Quadratic form to canonical forms by Orthogonal Transformation. , Calculus Mean value theorems: Rolles theorem, Lagranges Mean value theorem with their Geometrical Interpretation and applications, Cauchys Mean value Theorem, Taylors Series. Definition of Improper Integral: Beta and Gamma functions and their applications. , Multivariable Calculus (Partial Differentiation and applications) Definitions of Limit and continuity, Partial Differentiation: Eulers Theorem, Total derivative, Jacobian, Functional dependence and independence. Applications: Maxima and minima of functions of two variables and three variables using method of Lagrange multipliers. , Multivariable Calculus (Integration) Evaluation of Double Integrals (Cartesian and polar coordinates), change of order of integration (only Cartesian form), Evaluation of Triple Integrals: Change of variables (Cartesian to polar) for double and (Cartesian to Spherical and Cylindrical polar coordinates) triple integrals. Applications: Areas (by double integrals) and volumes (by double integrals and triple integrals)."
Mahatma Gandhi Institute of Technology (MGIT),CH101BS,Engineering Chemistry,"Water and its treatment: Introduction to hardness of water Expression of hardness, Units and related numerical problems. Potable water and its specifications - Steps involved in the treatment of potable water - Disinfection of potable water by chlorination and breakpoint chlorination. Boiler troubles: Sludge, Scale, Boiler corrosion and Caustic embrittlement. Internal treatment of Boiler feed water - Calgon conditioning - Phosphate conditioning - Colloidal conditioning. External treatment methods - Softening of water by ion- exchange processes. Desalination of water Reverse osmosis. , Battery Chemistry & Corrosion: Introduction - Classification of batteries - primary, secondary and reserve batteries with examples. Basic requirements for commercial batteries. Construction, working and applications of Zn-air and Lithium ion battery, Applications of Li-ion battery. Fuel Cells - Differences between battery and a fuel cell, Construction and applications of Methanol Oxygen fuel cell and Solid oxide fuel cell. Solar cells - Introduction and applications of Solar cells. Corrosion: Causes and effects of corrosion Theories of chemical and electrochemical corrosion mechanism of electrochemical corrosion. Types of corrosion: Galvanic, Water-line and Pitting corrosion. Factors affecting rate of corrosion. Corrosion control methods: Cathodic protection Sacrificial anode and impressed current methods. Application of Metallic coatings Electroplating , Polymeric materials: Definition Classification of polymers with examples Types of polymerization Addition and condensation polymerization with examples. Plastics: Definition and characteristics - Thermoplastic and thermosetting plastics, Preparation, Properties and Engineering applications of PVC, Teflon and Bakelite. Fibers: Preparation, Properties and Engineering applications of Nylon :, and Terylene Elastomers: Characteristics Preparation Properties and Applications of Buna-S, Butyl and Thiokolrubber. Conducting polymers: Characteristics and Classification with examples - Mechanism of conduction in trans-polyacetylene and Applications of conducting polymers. Biodegradable polymers: Concept and advantages - Polylactic acid and Polyvinyl alcohol and their applications. , Energy Sources: Introduction, Calorific value of fuel HCV, LCV- Dulongs formula. Classification - solid fuels: Coal Analysis of coal Proximate and ultimate analysis and their significance. Liquid fuels Petroleum and its refining, Cracking types Moving bed catalytic cracking. Knocking Octane and Cetane rating. Synthetic petrol - Fischer-Tropschs process. Gaseous fuels Composition and uses of Natural gas, LPG and CNG. Biodiesel Transesterification, advantages. , Engineering Materials: Smart materials and their engineering applications Shape memory materials - Poly L- Lactic acid. Thermoresponse materials - Polyacryl amides, Poly vinylamides Lubricants: Classification of lubricants with examples - Characteristics of a good lubricant. Properties of lubricants: Viscosity, Cloud point,Pour point, Flash point and Fire point. Refractories: Definition, Classification, Characteristics of a good refractory. Application of refractories. Cement: Portland cement - its composition, Setting and hardening"
Mahatma Gandhi Institute of Technology (MGIT),CS101ES,PROGRAMMING FOR PROBLEM SOLVING,"Introduction to Programming Compilers, compiling and executing a program. Representation of Algorithm - Algorithms for finding roots of a quadratic equations, finding minimum and maximum numbers of a given set, finding if a number is prime number Flowchart/Pseudocode with examples, Program design and structured programming Introduction to C Programming Language: Variables (with data types and space requirements), Syntax and Logical Errors in compilation, object and executable code, Operators, expressions and precedence, Expression evaluation, Storage classes (auto, extern, static and register), type conversion, The main method and command line arguments Bitwise operations: Bitwise AND, OR, XOR and NOT operators Conditional Branching and Loops: Writing and evaluation of conditionals and consequent branching with if, if- else, switch-case, ternary operator, goto, Iteration with for, while, do- while loops I/O: Simple input and output with scanf and printf, formatted I/O, Introduction to stdin, stdout and stderr. Command line arguments , Arrays, Strings, Structures and Pointers: Arrays: one and two dimensional arrays, creating, accessing and manipulating elements of arrays Strings: Introduction to strings, handling strings as array of characters, basic string functions available in C (strlen, strcat, strcpy, strstr etc.), arrays of strings Structures: Defining structures, initializing structures, unions, Array of structures Pointers: Idea of pointers, Defining pointers, Pointers to Arrays and Structures, Use of Pointers in self- referential structures, usage of self referential structures in linked list (no implementation) Enumeration data type , Preprocessor and File handling in C: Preprocessor: Commonly used Preprocessor commands like include, define, undef, if, ifdef, ifndef Files: Text and Binary files, Creating and Reading and writing text and binary files, Appending data to existing files, Writing and reading structures using binary files, Random access using fseek, ftell and rewind functions. , Function and Dynamic Memory Allocation: Functions: Designing structured programs, Declaring a function, Signature of a function, Parameters and return type of a function, passing parameters to functions, call by value, Passing arrays to functions, passing pointers to functions, idea of call by reference, Some C standard functions and libraries Recursion: Simple programs, such as Finding Factorial, Fibonacci series etc., Limitations of Recursive functions Dynamic memory allocation: Allocating and freeing memory, Allocating memory for arrays of different data types , Searching and Sorting: Basic searching in an array of elements (linear and binary search techniques), Basic algorithms to sort array of elements (Bubble, Insertion and Selection sort algorithms), Basic concept of order of complexity through the example programs"
Mahatma Gandhi Institute of Technology (MGIT),EE101ES,Basic Electrical Engineering,"D.C. Circuits Electrical circuit elements (R, L and C), voltage and current sources, KVL & KCL, analysis of simple circuits with DC excitation, Superposition, Thevenin and Norton Theorems. Time-domain analysis of first-order RL and RC circuits. , A.C. Circuits Representation of sinusoidal waveforms, peak and RMS values, phasor representation, real power, reactive power, apparent power, power factor, Analysis of single-phase AC circuits consisting of R, L, C, RL, RC, RLC combinations (series and parallel), resonance in series R-L-C circuit, Three- phase balanced circuits, voltage and current relations in star and delta connections. , Transformers Ideal and practical transformer, equivalent circuit, losses in transformers, regulation and efficiency, Auto- transformer-Theory and Copper saving in auto transformer. , Electrical Machines Construction and working principle of DC machine, Performance characteristics of DC shunt machine, Generation of rotating magnetic field, Construction and working of a three-phase induction motor, Significance of torque-slip characteristics, Construction and working of synchronous generator. , Electrical Installations Components of LT Switchgear: Switch Fuse Unit (SFU), MCB, ELCB, MCCB, Types of Wires and Cables, Earthling, Types of Batteries, Important Characteristics for Batteries. Elementary calculations for energy consumption, power factor improvement. Suggested Readings: th . D.P. Kothari and I. J. Nagrath, Basic Electrical Engineering, Tata McGraw Hill, Edition,. nd . MS Naidu and S Kamakshaiah, Basic Electrical Engineering, Tata McGraw Hill, Edition,."
Mahatma Gandhi Institute of Technology (MGIT),ME101ES,ENGINEERING GRAPHICS,"Introduction to Engineering Graphics: Principles of Engineering Graphics and their Significance, Scales Plain & Diagonal, Conic Sections-ellipse, parabola, hyperbola and Rectangular Hyperbola General method only. Cycloid, Epicycloid and Hypocycloid. Introduction to Auto CAD software Commands. , Orthographic Projections: Principles of Orthographic Projections Conventions Projections of Points and Lines, Projections of Plane regular geometric figures. , Projections of Regular Solids inclined to one plane, Sections and Sectional views of Right Regular Solids Prism, Cylinder, Pyramid, and Cone , Development of Surfaces of Right Regular Solids Prism, Cylinder, Pyramid and Cone. Intersection of solids cylinder vs cylinder. , Isometric Projections: Principles of Isometric Projection Isometric Scale Isometric Views Conventions Isometric Projection of solids. Conversion of Isometric Views to Orthographic Views and Vice-versa Conventions. Free hands Sketches of 2D, creation of 2D sketches. conversion of Isometric views to orthographic views using Auto CAD."
Mahatma Gandhi Institute of Technology (MGIT),CS153ES,ELEMENTS OF COMPUTER SCIENCE AND ENGINEERING,"Basics of a Computer Hardware, Software, Generations of computers. Hardware - functional units, Components of CPU, Memory hierarchy, types of memory, Input and output devices. Software systems software, application software, packages, frameworks, IDEs. , Software development waterfall model, Agile, Types of computer languages Programming, markup, scripting Program Development steps in program development, flowcharts, algorithms, data structures definition, types of data structures , Operating systems: Functions of operating systems, types of operating systems, Device & Resource management Database Management Systems: Data models, RDBMS, SQL, Database Transactions, data centers, cloud services , Computer Networks: Advantages of computer networks, LAN, WAN, MAN, internet, WiFi, sensor networks, vehicular networks, 5G communication. World Wide W eb Basics, role of HTML, CSS, XML, Tools for web designing, Social media, Online social networks. Security information security, cyber security, cyber laws , Autonomous Systems: IoT, Robotics, Drones, Artificial Intelligence Learning, Game Development, natural language processing, image and video processing. Cloud Basics TEXT BOOK: . Invitation to Computer Science, G. Michael Schneider, Macalester College, Judith L. Gersting University of Hawaii, Hilo, Contributing author: Keith Miller University of Illinois, Springfield."
Mahatma Gandhi Institute of Technology (MGIT),MC101BS,Environmental Science,"Ecosystems: Definition, scope, and importance of ecosystem. Classification, structure, and function of an ecosystem, food chains, food webs, and ecological pyramids. Flow of energy, biogeochemical cycles, bioaccumulation, biomagnification, ecosystem value, services and carrying capacity. Field visits. , Natural Resources: Classification of resources: Living and non-living resources. Water resources: Use and over utilization of surface and ground water, floods and droughts. Dams: Benefits and problems. Mineral resources: Use and exploitation, environmental effects of extracting and using mineral resources. Land resources and Forest resources. Energy resources: Growing energy needs, renewable and non- renewable energy resources, use of alternate energy resources. Case studies. , Biodiversity and Biotic Resources: Introduction, definition, genetic, species and ecosystem diversity. Values of biodiversity: Consumptive use, productive use, social, ethical, aesthetic and optional values. India as a mega diversity nation, hot spots of biodiversity. Field visit. Threats to biodiversity: Habitat loss, poaching of wildlife, man-wildlife conflicts. Conservation of biodiversity: In - Situ and Ex -situ conservation. National biodiversity act. , Environmental Pollution and Control Technologies: Classification of pollution. Air pollution: Primary and secondary pollutants, automobile and industrial pollution. Ambient air quality standards. Soil pollution: Sources and types, impacts of modern agriculture, degradation of soil. Solid waste: Municipal solid waste management, composition and characteristics of e-waste and its management. Pollution control technologies: Wastewater treatment methods: Primary, secondary and tertiary. Overview of air pollution control technologies, concepts of bioremediation. Global Environmental issues and Global efforts: Climate change and impacts on human environment. Ozone depletion and Ozone depleting substances (ODS). Deforestation and desertification. International conventions /Protocols: Earth summit, Kyoto protocol and Montral protocol. NAPCC-GoI Initiatives. , Environmental Policy, Legislation & EIA: Environmental Protection Act, legal aspects Air Act- , Water Act, biomedical waste management and handling rules, hazardous waste management and handling rules. EIA: EIA structure, methods of baseline data acquisition. Concepts of environmental management plan (EMP). Towards Sustainable Future: Concept of sustainable development goals, population and its explosion. Crazy consumerism, Environmental education, Human health, Environmental ethics. Concept of green building, Principles of green chemistry, Ecological footprint, Life cycle assessment (LCA), Low carbon life style."
Mahatma Gandhi Institute of Technology (MGIT),MA201BS,Ordinary Differential Equations and Vector Calculus,"First Order Ordinary Differential Equations Exact differential equations, Equations reducible to exact differential equations, linear and Bernoullis equations, Orthogonal Trajectories (only in Cartesian Coordinates). Applications: Newtons law of cooling, Law of natural growth and decay. , Ordinary Differential Equations of Higher Order Second order linear differential equations with constant coefficients: Non-Homogeneous terms of the type , sin , cos , polynomials in , () and (), method of variation of parameters, Equations reducible to linear ordinary differential equations with constant coefficients: Legendres equation, Cauchy-Euler equation. Applications: Electric Circuits. , Laplace transforms Laplace Transforms: Laplace Transform of standard functions, First shifting theorem, Second shifting theorem, Unit step function, Dirac delta function, Laplace transforms of functions when they are multiplied and divided by t, Laplace transforms of derivatives and integrals of function, Evaluation of integrals by Laplace transforms, Laplace transform of periodic functions, Inverse Laplace transform by different methods, Convolution theorem (without proof). Applications: solving Initial value problems by Laplace Transform method. , Vector Differentiation Vector point functions and scalar point functions, Gradient, Divergence and Curl, Directional derivatives, Tangent plane and normal line, Vector Identities, Scalar potential functions, Solenoidal and Irrotational vectors. , Vector Integration Line, Surface and Volume Integrals, Theorems of Green, Gauss and Stokes (without proofs) and their applications."
Mahatma Gandhi Institute of Technology (MGIT),PH201BS,APPLIED PHYSICS,"QUANTUM PHYSICS Blackbody radiation Plancks radiation law - Weins law, Rayleigh-Jeans law - Photoelectric effect de Broglies Hypothesis, Davisson and Germers experiment Heisenberg uncertainty principle with an illustration - Non-existence of electrons in nucleus - Time independent Schrodinger wave equation - Born interpretation of the wave function - Particle in one dimensional potential box. , SEMICONDUCTORS AND DEVICES Intrinsic and extrinsic semiconductors Hall effect - Direct and indirect band gap semiconductors - Construction, principle of operation and characteristics of P-N Junction diode, Zener diode and Bipolar Junction Transistor (BJT) LED, PIN diode, Avalanche Photo Diode (APD) and Solar cells: structure, materials, working principle and characteristics. , DIELECTRIC AND MAGNETIC MATERIALS Dielectric Materials: Types of polarizations Electronic & Ionic polarizabilities - Internal f ield in Dielect r i c s and Cl a us i us - Mo s so tt i R el at i on Ferroelectric - Piezoelectric and Pyroelectric materials Applications: liquid crystal displays (LCD) and crystal oscillators.Magnetic Materials: Origin of magnetic moment - Classification of Magnetic materials - Weiss theory of ferromagnetism Hysteresis curve Soft and Hard magnetic materials Applications: Bubble memory devices, magnetic field sensors. , NANOTECHNOLOGY Nanoscale Properties of Nanomaterials - Surface to volume ratio - Quantum confinement Top- down fabrication: ball milling - Bottom-up fabrication: sol-gel, Physical Vapor Deposition (PVD) and Chemical Vapor Deposition (CVD) - Characterization techniques: XRD, SEM & TEM - Applications of nanomaterials. , LASERS AND FIBER OPTICS Lasers: Characteristics - Spontaneous and Stimulated emissions Einstein coefficients - Population Inversion - Pumping mechanisms - Ruby laser, Nd:YAG laser, He-Ne laser, CO2 laser, Semiconductor laser - Applications of lasers. Fiber Optics: Introduction to optical fibers - Advantages of optical Fibers over conventional communications Principle of light transmission through optical fiber - Structure of optical fiber - Acceptance angle and Numerical aperture - Classification of optical fibers: Step index and Graded index fibers Attenuation mechanism in optical fibers Block diagram of optical fiber communication system - applications."
Mahatma Gandhi Institute of Technology (MGIT),EN201HS,ENGLISH FOR SKILL ENHANCEMENT,"Toasted English by R. K. Narayan from English: Language, Context and Culture published by Orient BlackSwan, Hyderabad. Vocabulary: The Concept of Word Formation -The Use of Prefixes and Suffixes - Acquaintance with Prefixes and Suffixes from Foreign Languages to form Derivatives - Synonyms and Antonyms Grammar: Identifying Common Errors in Writing with Reference to Articles and Prepositions. Reading: Reading and Its Importance- Techniques for Effective Reading. Writing: Sentence Structures -Use of Phrases and Clauses in Sentences- Importance of Proper Punctuation- Techniques for Writing precisely Paragraph Writing Types, Structures and Features of a Paragraph - Creating Coherence-Organizing Principles of Paragraphs in Documents. , Appro JRD by Sudha Murthy from English: Language, Context and Culture published by Orient BlackSwan, Hyderabad. Vocabulary: Words Often Misspelt - Homophones, Homonyms and Homographs. Grammar: Identifying Common Errors in Writing with Reference to Noun-pronoun Agreement and Subject-verb Agreement. Reading: Sub-Skills of Reading Skimming and Scanning Exercises for Practice. Writing: Nature and Style of Writing- Defining /Describing People, Objects, Places and Events Classifying- Providing Examples or Evidence. , Lessons from Online Learning by F. Haider Alvi, Deborah Hurst et al from English: Language, Context and Culture published by Orient BlackSwan, Hyderabad. Vocabulary: Words Often Confused - Words from Foreign Languages and their Use in English. Grammar: Identifying Common Errors in Writing with Reference to Misplaced Modifiers and Tenses. Reading: Sub-Skills of Reading Intensive Reading and Extensive Reading Exercises for Practice Barriers to Effective Reading. Writing: Format of a Formal Letter-Writing Formal Letters E.g., Letter of Complaint, Letter of Requisition, Email Etiquette, Job Application with CV/Resume. , Art and Literature by Abdul Kalam from English: Language, Context and Culture published by Orient BlackSwan, Hyderabad. Vocabulary: Standard Abbreviations in English Idioms and Phrases Grammar: Redundancies and Clichs in Oral and Written Communication. Reading: Effective Steps to Reading - Survey, Question, Read, Recite and Review (SQ3R Method) - Exercises for Practice Writing: Writing Practices- Essay Writing-Writing Introduction and Conclusion -Prcis Writing. , Go, Kiss the World by Subroto Bagchi from English: Language, Context and Culture published by Orient BlackSwan, Hyderabad. Vocabulary: Technical Vocabulary and their Usage Grammar: Common Errors in English (Covering all the other aspects of grammar which were not covered in the previous units) Reading: Reading Comprehension-Exercises for Practice Writing: Technical Reports- Introduction Characteristics of a Report Categories of Reports Formats- Structure of Reports (Manuscript Format) -Types of Reports - Writing a Report. Note: Listening and Speaking Skills given under , in the AICTE Model Curriculum are covered in the syllabus of ELCS Lab Course. Note: . As the syllabus of English given in AICTE Model Curriculum- for B.Tech First Year is Open- ended, besides following the prescribed textbook, it is required to prepare teaching/learning materials by the teachers collectively in the form of handouts based on the needs of the students in their respective colleges for effective teaching/learning in the class. Note: . Based on the recommendations of NEP2020, teachers are requested to be flexible to adopt Blended Learning in dealing with the course contents. They are advised to teach percent of each topic from the syllabus in blended mode. Textbook: . English: Language, Context and Culture by Orient BlackSwan Pvt. Ltd, Hyderabad. . Print."
Mahatma Gandhi Institute of Technology (MGIT),EC201ES,ELECTRONIC DEVICES AND CIRCUITS,"Diodes: Diode - Static and Dynamic resistances, Equivalent circuit, Diffusion and Transition Capacitances, V-I Characteristics, Diode as a switch- switching times. , Diode Applications: Rectifier - Half Wave Rectifier, Full Wave Rectifier, Bridge Rectifier, Rectifiers with Capacitive and Inductive Filters, Clippers-Clipping at two independent levels, Clamper-Clamping Circuit Theorem, Clamping Operation, Types of Clampers. , Bipolar Junction Transistor (BJT): Principle of Operation, Common Emitter, Common Base and Common Collector Configurations, Transistor biasing and stabilization-fixed bias, self- bias and stability factors, Transistor as a switch, switching times, , Junction Field Effect Transistor (FET): Construction, Principle of Operation, Pinch-Off Voltage, Volt- Ampere Characteristic, Comparison of BJT and FET, FET as Voltage Variable Resistor, MOSFET, MOSTET as a capacitor. , Special Purpose Devices: Zener Diode - Characteristics, Zener diode as Voltage Regulator, Principle of Operation - SCR, Tunnel diode, UJT, Varactor Diode, Photo diode, Solar cell, LED, Schottky diode."
Mahatma Gandhi Institute of Technology (MGIT),EC331ES,DIGITAL ELECTRONICS,"Boolean Algebra and Logic Gates: Digital Systems, Binary Numbers, Number base conversions, Octal and Hexadecimal Numbers, complements, Signed binary numbers, Binary codes, Binary Storage and Registers, Binary logic. Basic Definitions, Axiomatic definition of Boolean Algebra, Basic theorems and properties of Boolean algebra, Boolean functions, canonical and standard forms, other logic operations, Digital logic gates. , Gate Level Minimization: The map method, Four-variable map, Five-Variable map, product of sums simplification D -care conditions, NAND and NOR implementation other Two-level implementations, Exclusive Or function. , Combinational Logic: Combinational Circuits, Analysis procedure Design procedure, Binary Adder-Subtractor Decimal Adder, Binary multiplier, magnitude comparator, Decoders, Encoders, Multiplexers, HDL for combinational circuits. , Sequential Logic: Sequential circuits, latches, Flip-Flops Analysis of clocked sequential circuits, state Reduction and Assignment, Design Procedure. Registers, shift Registers, Ripple counters, synchronous counters, other counters. , Memories and Asynchronous Sequential Logic: Introduction, Random-Access Memory, Memory Decoding, Error Detection and correction Read-only memory, Programmable logic Array programmable Array logic, Sequential Programmable Devices. Introduction, Analysis Procedure, Circuits with Latches, Design Procedure, Reduction of state and Flow Tables, Race-Free state Assignment Hazards, Design Example."
Mahatma Gandhi Institute of Technology (MGIT),MA302BS,COMPUTER ORIENTED STATISTICAL METHODS,"Random Variables and Probability Distributions Random variables - Discrete and Continuous random variables and their distribution functions, Expectation, Variance and standard deviation of random variables. , Theoretical Distributions Binomial, Poisson distributions and their properties -Poisson approximation to the Binomial distribution, Uniform distribution - Normal distributions and its properties - Normal approximation to Binomial distribution. , Fundamental Sampling Distributions and Estimation Random Sampling, Sampling Distributions, Sampling Distribution of Means and the Central Limit Theorem, Theory of Estimation. Estimating the mean, standard error of a point estimate, prediction/ confidence interval. , Testing of Hypothesis Test of significance- Basics of testing of hypothesis, Null and Alternate hypothesis, types of errors, level of significance, Critical region, Large sample test - single mean, single proportion, difference of means, difference of -distribution, single mean, difference of means. , Applied Statistics Curve fitting by the method of least squares, fitting of straight lines, second degree parabolas and more general curves Correlation and regression, Rank correlation."
