Domain,Total Skills,Matched Skills,Coverage %
Data Science & Analytics,15,7,46.67
Artificial Intelligence & Machine Learning,15,11,73.33
Cloud Computing,12,6,50.0
Cybersecurity,10,7,70.0
DevOps & Site Reliability,8,2,25.0
Software Engineering & Systems,8,3,37.5
Web Development & Full Stack,8,3,37.5
Business Analytics & BI,6,1,16.67
Data Engineering,14,4,28.57
Soft & Employability Skills,6,4,66.67
Generative AI & LLM Engineering,10,0,0.0
MLOps & Model Deployment,10,0,0.0
Blockchain & Web3,10,1,10.0
IoT & Embedded Systems,10,2,20.0
AR/VR & Metaverse Development,10,0,0.0
Robotics & Automation,10,0,0.0
Quantum Computing,10,3,30.0
Cyber Threat Intelligence,10,5,50.0
Mobile App Development,10,0,0.0
